month,date,price
april,1,3747
april,2,3711
april,3,3729
april,4,3778
april,5,3617
april,6,3643
april,7,3643
april,8,3762
april,9,3750
april,10,3717
april,11,3766
april,12,3766
april,13,3766
april,14,3766
april,15,3724
april,16,3794
april,17,3811
april,18,3820
april,19,3859
april,20,3859
april,1,4207
april,2,4198
april,3,4159
april,4,4207
april,5,4207
april,6,4207
april,7,4207
april,8,4207
april,9,4231
april,10,4194
april,11,4222
april,12,4222
april,13,4264
april,14,4232
april,15,4217
april,16,4152
april,17,4149
april,18,4116
april,19,4116
april,20,4128
april,1,5390
april,2,5376
april,3,5315
april,4,5357
april,5,5230
april,6,5231
april,7,5264
april,8,5224
april,9,5311
april,10,5311
april,11,5365
april,12,5380
april,13,5362
april,14,5397
april,15,5428
april,16,5348
april,17,5348
april,18,5334
april,19,5334
april,20,5334
april,1,4369
april,2,4569
april,3,4566
april,4,4659
april,5,4659
april,6,4619
april,7,4458
april,8,4469
april,9,4469
april,10,4419
april,11,4569
april,12,4569
april,13,4569
april,14,4569
april,15,4569
april,16,4569
april,17,4359
april,18,4359
april,19,4359
april,20,4339
april,1,5557
april,2,5590
april,3,5600
april,4,5616
april,5,5666
april,6,5671
april,7,5680
april,8,5656
april,9,5663
april,10,5709
april,11,5675
april,12,5665
april,13,5830
april,14,5844
april,15,5799
april,16,5897
april,17,5859
april,18,5859
april,19,5864
april,20,5869
