month,date,price
feb,1,4009
feb,2,4009
feb,3,4009
feb,4,4009
feb,5,3814
feb,6,3862
feb,7,3800
feb,8,3670
feb,9,3690
feb,10,3888
feb,11,3888
feb,12,3888
feb,13,3781
feb,14,3791
feb,15,3791
feb,16,3888
feb,17,3888
feb,18,3888
feb,19,3900
feb,20,3714
feb,1,4325
feb,2,4339
feb,3,4263
feb,4,4263
feb,5,4193
feb,6,4193
feb,7,4272
feb,8,4185
feb,9,4089
feb,10,4109
feb,11,4101
feb,12,4100
feb,13,4109
feb,14,4115
feb,15,4113
feb,16,4129
feb,17,4129
feb,18,4129
feb,19,4118
feb,20,4158
feb,1,5409
feb,2,5560
feb,3,5533
feb,4,5533
feb,5,5533
feb,6,5403
feb,7,5403
feb,8,5361
feb,9,5166
feb,10,5165
feb,11,5217
feb,12,5256
feb,13,5256
feb,14,5244
feb,15,5268
feb,16,5269
feb,17,5286
feb,18,5281
feb,19,5317
feb,20,5317
feb,1,5588
feb,2,5589
feb,3,5585
feb,4,5589
feb,5,5571
feb,6,5541
feb,7,5541
feb,8,5497
feb,9,5470
feb,10,5462
feb,11,4939
feb,12,4839
feb,13,4869
feb,14,4869
feb,15,4869
feb,16,4869
feb,17,4869
feb,18,4669
feb,19,4669
feb,20,4779
feb,1,6011
feb,2,5466
feb,3,5462
feb,4,5466
feb,5,5481
feb,6,5461
feb,7,5456
feb,8,5459
feb,9,5450
feb,10,5452
feb,11,5369
feb,12,5379
feb,13,5359
feb,14,5367
feb,15,5365
feb,16,5359
feb,17,5389
feb,18,5359
feb,19,5377
feb,20,5370
