month,date,price
jan,1,4350
jan,2,4500
jan,3,4500
jan,4,4700
jan,5,4700
jan,6,4650
jan,7,4650
jan,8,4650
jan,9,4600
jan,10,4650
jan,11,4600
jan,12,4600
jan,13,4600
jan,14,4600
jan,15,4600
jan,16,4680
jan,17,4745
jan,18,4800
jan,19,4800
jan,20,4800
jan,1,4025
jan,2,4025
jan,3,4025
jan,4,4025
jan,5,4025
jan,6,4009
jan,7,4009
jan,8,4009
jan,9,4025
jan,10,4025
jan,11,4025
jan,12,4025
jan,13,4025
jan,14,4025
jan,15,3800
jan,16,3800
jan,17,3800
jan,18,4009
jan,19,4009
jan,20,4009
jan,1,4129
jan,2,4147
jan,3,4147
jan,4,4396
jan,5,4344
jan,6,4360
jan,7,4379
jan,8,4366
jan,9,4366
jan,10,4366
jan,11,4352
jan,12,4311
jan,13,4300
jan,14,4300
jan,15,4300
jan,16,4300
jan,17,4300
jan,18,4305
jan,19,4237
jan,20,4213
jan,1,5286
jan,2,5127
jan,3,5225
jan,4,5305
jan,5,5292
jan,6,5286
jan,7,5286
jan,8,5286
jan,9,5286
jan,10,5251
jan,11,5240
jan,12,5234
jan,13,5293
jan,14,5293
jan,15,5293
jan,16,5293
jan,17,5312
jan,18,5313
jan,19,5364
jan,20,5409
jan,1,5758
jan,2,5489
jan,3,5559
jan,4,5859
jan,5,5870
jan,6,5859
jan,7,5821
jan,8,5801
jan,9,5810
jan,10,5829
jan,11,5769
jan,12,5769
jan,13,5640
jan,14,5590
jan,15,5619
jan,16,5549
jan,17,5545
jan,18,5557
jan,19,5520
jan,20,5588
