month,date,price
feb,1,3980
feb,2,3990
feb,3,3925
feb,4,3950
feb,5,3920
feb,6,3925
feb,7,4000
feb,8,3915
feb,9,3880
feb,10,3965
feb,11,3955
feb,12,4005
feb,13,4030
feb,14,4050
feb,15,4080
feb,16,4000
feb,17,4010
feb,18,4060
feb,19,3990
feb,20,3940
feb,1,4515
feb,2,4570
feb,3,4500
feb,4,4490
feb,5,4415
feb,6,4390
feb,7,4235
feb,8,4335
feb,9,4320
feb,10,4260
feb,11,4125
feb,12,4425
feb,13,4105
feb,14,4225
feb,15,4130
feb,16,4310
feb,17,4230
feb,18,4180
feb,19,4250
feb,20,4387
feb,1,5087
feb,2,5595
feb,3,5635
feb,4,5675
feb,5,5610
feb,6,5550
feb,7,5555
feb,8,5680
feb,9,5250
feb,10,5310
feb,11,5270
feb,12,5000
feb,13,5090
feb,14,5280
feb,15,5260
feb,16,5275
feb,17,4960
feb,18,5165
feb,19,5260
feb,20,5200
feb,1,4860
feb,2,4570
feb,3,4915
feb,4,4600
feb,5,4610
feb,6,4750
feb,7,4740
feb,8,4730
feb,9,4690
feb,10,4660
feb,11,4685
feb,12,4195
feb,13,4500
feb,14,4530
feb,15,4690
feb,16,4310
feb,17,4615
feb,18,4580
feb,19,4600
feb,20,4405
feb,1,5465
feb,2,5465
feb,3,5415
feb,4,5445
feb,5,5475
feb,6,5465
feb,7,5420
feb,8,5495
feb,9,5460
feb,10,5435
feb,11,5370
feb,12,5475
feb,13,5475
feb,14,5430
feb,15,5420
feb,16,5410
feb,17,5420
feb,18,5430
feb,19,5445
feb,20,5435
