month,date,price
feb,1,4000
feb,2,4015
feb,3,4005
feb,4,4000
feb,5,3990
feb,6,3975
feb,7,3905
feb,8,3925
feb,9,3950
feb,10,3990
feb,11,3975
feb,12,3955
feb,13,4010
feb,14,4015
feb,15,4065
feb,16,4045
feb,17,4045
feb,18,4005
feb,19,4010
feb,20,3950
feb,1,4740
feb,2,4845
feb,3,4740
feb,4,4795
feb,5,4770
feb,6,4790
feb,7,4785
feb,8,4450
feb,9,4405
feb,10,4445
feb,11,4350
feb,12,4325
feb,13,4400
feb,14,4455
feb,15,4365
feb,16,4450
feb,17,4410
feb,18,4350
feb,19,4260
feb,20,4400
feb,1,5575
feb,2,5655
feb,3,5750
feb,4,5810
feb,5,5800
feb,6,5750
feb,7,5625
feb,8,5585
feb,9,5660
feb,10,5625
feb,11,5650
feb,12,5600
feb,13,5475
feb,14,5445
feb,15,5435
feb,16,5300
feb,17,5255
feb,18,5330
feb,19,5400
feb,20,5350
feb,1,4605
feb,2,4750
feb,3,4800
feb,4,4675
feb,5,4680
feb,6,4665
feb,7,4770
feb,8,4800
feb,9,4795
feb,10,4800
feb,11,4645
feb,12,4665
feb,13,4650
feb,14,4650
feb,15,4660
feb,16,4840
feb,17,4845
feb,18,4685
feb,19,4680
feb,20,4700
feb,1,5400
feb,2,5400
feb,3,5395
feb,4,5385
feb,5,5350
feb,6,5400
feb,7,5400
feb,8,5409
feb,9,5425
feb,10,5390
feb,11,5405
feb,12,5425
feb,13,5435
feb,14,5420
feb,15,5415
feb,16,5350
feb,17,5435
feb,18,5435
feb,19,5400
feb,20,5440
