month,date,price
june,1,4730
june,2,4840
june,3,4835
june,4,4835
june,5,4700
june,6,4700
june,7,4675
june,8,4650
june,9,4685
june,10,4625
june,11,4600
june,12,4590
june,13,4700
june,14,4620
june,15,4580
june,16,4545
june,17,4500
june,18,4525
june,19,4575
june,20,4575
june,1,5450
june,2,5300
june,3,5350
june,4,5400
june,5,5500
june,6,5550
june,7,5600
june,8,5100
june,9,5625
june,10,5550
june,11,5585
june,12,5700
june,13,5650
june,14,5680
june,15,5680
june,16,5600
june,17,5600
june,18,5600
june,19,5650
june,20,5650
june,1,4700
june,2,4630
june,3,4590
june,4,4655
june,5,4650
june,6,4575
june,7,4640
june,8,4750
june,9,4700
june,10,4650
june,11,4740
june,12,4750
june,13,4695
june,14,4700
june,15,4725
june,16,4740
june,17,4720
june,18,4665
june,19,4680
june,20,4670
june,1,5150
june,2,5150
june,3,5250
june,4,5300
june,5,5355
june,6,5390
june,7,5650
june,8,5730
june,9,5825
june,10,5850
june,11,5900
june,12,5850
june,13,5885
june,14,5900
june,15,5800
june,16,5745
june,17,5680
june,18,5680
june,19,5735
june,20,5765
june,1,6515
june,2,6445
june,3,6425
june,4,6355
june,5,6340
june,6,6340
june,7,6175
june,8,6160
june,9,6140
june,10,5875
june,11,6150
june,12,6200
june,13,6285
june,14,6270
june,15,6280
june,16,6200
june,17,6150
june,18,6070
june,19,6090
june,20,6060
