month,date,price
march,1,3985
march,2,3985
march,3,3925
march,4,3955
march,5,3940
march,6,4015
march,7,4025
march,8,4010
march,9,4030
march,10,4050
march,11,4045
march,12,4035
march,13,4055
march,14,4045
march,15,4040
march,16,4075
march,17,4070
march,18,4050
march,19,4125
march,20,4145
march,1,4405
march,2,4270
march,3,4330
march,4,4250
march,5,4335
march,6,4390
march,7,4380
march,8,4450
march,9,4340
march,10,4200
march,11,4330
march,12,4355
march,13,4400
march,14,4425
march,15,4450
march,16,4700
march,17,4680
march,18,4600
march,19,4685
march,20,4600
march,1,5205
march,2,5200
march,3,5195
march,4,5275
march,5,5180
march,6,5275
march,7,5200
march,8,5220
march,9,5325
march,10,5205
march,11,4950
march,12,4850
march,13,5150
march,14,5200
march,15,5245
march,16,5250
march,17,5125
march,18,5245
march,19,5250
march,20,5125
march,1,4795
march,2,4745
march,3,4745
march,4,4795
march,5,4695
march,6,4695
march,7,4740
march,8,4830
march,9,4845
march,10,4700
march,11,4690
march,12,4630
march,13,4625
march,14,4600
march,15,4555
march,16,4650
march,17,4630
march,18,4620
march,19,4700
march,20,4670
march,1,5410
march,2,5430
march,3,5445
march,4,5445
march,5,5445
march,6,5450
march,7,5455
march,8,5450
march,9,5475
march,10,5495
march,11,5530
march,12,5540
march,13,5580
march,14,5640
march,15,5660
march,16,5850
march,17,5850
march,18,5845
march,19,5845
march,20,5945
