month,date,price
april,1,4400
april,2,4325
april,3,4600
april,4,4150
april,5,4615
april,6,4610
april,7,4625
april,8,4625
april,9,4610
april,10,4540
april,11,4570
april,12,4460
april,13,4460
april,14,4460
april,15,4510
april,16,4510
april,17,4650
april,18,4600
april,19,4610
april,20,4700
april,1,4760
april,2,4925
april,3,4940
april,4,4925
april,5,4300
april,6,5090
april,7,5000
april,8,4975
april,9,5035
april,10,5010
april,11,5070
april,12,5080
april,13,5035
april,14,5030
april,15,5005
april,16,5005
april,17,5040
april,18,5000
april,19,5080
april,20,5050
april,1,5925
april,2,5750
april,3,5850
april,4,5750
april,5,5750
april,6,5850
april,7,5750
april,8,5800
april,9,5650
april,10,5725
april,11,5700
april,12,5660
april,13,5625
april,14,5750
april,15,5700
april,16,5600
april,17,5700
april,18,5675
april,19,5625
april,20,5700
april,1,5215
april,2,5245
april,3,5260
april,4,5290
april,5,5250
april,6,5260
april,7,5270
april,8,5325
april,9,5340
april,10,5300
april,11,5255
april,12,5300
april,13,5325
april,14,5325
april,15,5300
april,16,5330
april,17,5310
april,18,5125
april,19,5275
april,20,5250
april,1,6050
april,2,6050
april,3,6075
april,4,6175
april,5,6190
april,6,6150
april,7,6175
april,8,6200
april,9,6150
april,10,6075
april,11,6100
april,12,6175
april,13,6175
april,14,6150
april,15,6215
april,16,6190
april,17,6185
april,18,6175
april,19,6175
april,20,6185
