month,date,price
jan,1,4125
jan,2,4135
jan,3,4165
jan,4,4175
jan,5,4175
jan,6,4165
jan,7,4150
jan,8,4125
jan,9,4105
jan,10,4115
jan,11,4115
jan,12,4115
jan,13,4100
jan,14,4065
jan,15,4030
jan,16,4010
jan,17,4005
jan,18,4020
jan,19,4010
jan,20,4025
jan,1,4765
jan,2,4700
jan,3,4710
jan,4,4710
jan,5,4725
jan,6,4725
jan,7,4735
jan,8,4680
jan,9,4675
jan,10,4765
jan,11,4785
jan,12,4780
jan,13,4735
jan,14,4750
jan,15,4625
jan,16,4715
jan,17,4715
jan,18,4730
jan,19,4710
jan,20,4710
jan,1,5200
jan,2,5200
jan,3,5325
jan,4,5350
jan,5,5450
jan,6,5350
jan,7,5425
jan,8,5625
jan,9,5600
jan,10,5575
jan,11,5350
jan,12,5400
jan,13,5400
jan,14,5550
jan,15,5500
jan,16,5500
jan,17,5600
jan,18,5625
jan,19,5700
jan,20,5600
jan,1,5175
jan,2,5210
jan,3,5360
jan,4,5350
jan,5,5200
jan,6,5225
jan,7,5285
jan,8,5235
jan,9,5280
jan,10,5175
jan,11,5175
jan,12,5100
jan,13,5140
jan,14,5060
jan,15,5075
jan,16,5050
jan,17,5140
jan,18,5100
jan,19,5175
jan,20,5125
jan,1,5575
jan,2,5585
jan,3,5535
jan,4,5050
jan,5,5575
jan,6,5500
jan,7,5535
jan,8,5450
jan,9,5450
jan,10,5485
jan,11,5375
jan,12,5530
jan,13,5550
jan,14,5525
jan,15,5500
jan,16,5525
jan,17,5450
jan,18,5475
jan,19,5450
jan,20,5485
