month,date,price
march,1,4050
march,2,4050
march,3,4050
march,4,4090
march,5,4095
march,6,4085
march,7,4090
march,8,4140
march,9,4125
march,10,4100
march,11,4175
march,12,4135
march,13,4125
march,14,4140
march,15,4160
march,16,4145
march,17,4265
march,18,4225
march,19,4230
march,20,4260
march,1,4730
march,2,4710
march,3,4710
march,4,4690
march,5,4715
march,6,4700
march,7,4690
march,8,4660
march,9,4640
march,10,4630
march,11,4730
march,12,4790
march,13,4785
march,14,4750
march,15,4745
march,16,4745
march,17,4730
march,18,4750
march,19,4750
march,20,4820
march,1,5650
march,2,5700
march,3,5775
march,4,5925
march,5,5850
march,6,5850
march,7,5700
march,8,5650
march,9,5575
march,10,5500
march,11,5500
march,12,5225
march,13,5700
march,14,5750
march,15,4800
march,16,3400
march,17,5700
march,18,5725
march,19,5700
march,20,5875
march,1,5115
march,2,5075
march,3,5050
march,4,5125
march,5,5150
march,6,5125
march,7,5075
march,8,5115
march,9,5145
march,10,5140
march,11,5110
march,12,5050
march,13,5120
march,14,5100
march,15,4050
march,16,5100
march,17,5140
march,18,5135
march,19,5130
march,20,5050
march,1,5435
march,2,5450
march,3,5465
march,4,5400
march,5,5480
march,6,5525
march,7,5520
march,8,5350
march,9,5490
march,10,5590
march,11,5575
march,12,5575
march,13,5650
march,14,5675
march,15,5700
march,16,5800
march,17,5850
march,18,5900
march,19,5900
march,20,5875
