month,date,price
dec,1,4315
dec,2,4325
dec,3,4310
dec,4,4260
dec,5,4315
dec,6,4370
dec,7,4295
dec,8,4320
dec,9,4400
dec,10,4500
dec,11,4520
dec,12,4575
dec,13,4555
dec,14,4480
dec,15,4510
dec,16,4715
dec,17,4560
dec,18,4560
dec,19,4530
dec,20,4705
dec,1,5015
dec,2,5040
dec,3,4865
dec,4,5105
dec,5,5040
dec,6,5055
dec,7,4970
dec,8,4980
dec,9,4875
dec,10,5010
dec,11,4945
dec,12,4955
dec,13,5035
dec,14,5025
dec,15,4975
dec,16,5010
dec,17,5025
dec,18,5025
dec,19,5110
dec,20,5125
dec,1,4500
dec,2,5000
dec,3,4800
dec,4,4850
dec,5,5000
dec,6,4350
dec,7,5000
dec,8,5000
dec,9,5000
dec,10,4300
dec,11,4800
dec,12,4800
dec,13,4900
dec,14,4250
dec,15,4250
dec,16,4150
dec,17,4250
dec,18,4550
dec,19,4350
dec,20,4500
