month,date,price
march,1,3835
march,2,3860
march,3,3835
march,4,3825
march,5,3805
march,6,3915
march,7,3800
march,8,3825
march,9,3835
march,10,3845
march,11,3845
march,12,3875
march,13,3855
march,14,3845
march,15,3835
march,16,3880
march,17,3895
march,18,3895
march,19,3840
march,20,3845
march,1,4405
march,2,4455
march,3,4525
march,4,4445
march,5,4410
march,6,4380
march,7,4450
march,8,4395
march,9,4380
march,10,4260
march,11,4410
march,12,4440
march,13,4350
march,14,4385
march,15,4330
march,16,4335
march,17,4330
march,18,4255
march,19,4455
march,20,4555
march,1,5325
march,2,5265
march,3,5235
march,4,5160
march,5,5130
march,6,5300
march,7,5260
march,8,5255
march,9,5235
march,10,5185
march,11,5270
march,12,5200
march,13,5160
march,14,5175
march,15,5235
march,16,5115
march,17,5320
march,18,5165
march,19,5350
march,20,5305
march,1,4250
march,2,4250
march,3,4050
march,4,3950
march,5,4150
march,6,4100
march,7,3650
march,8,3750
march,9,4150
march,10,4100
march,11,4000
march,12,4050
march,13,4050
march,14,4150
march,15,4150
march,16,4050
march,17,4100
march,18,3850
march,19,4150
march,20,4150
march,1,4350
march,2,4500
march,3,4500
march,4,4350
march,5,4450
march,6,4850
march,7,4350
march,8,4500
march,9,4000
march,10,4350
march,11,4250
march,12,4350
march,13,4250
march,14,4150
march,15,4550
march,16,4350
march,17,4250
march,18,4350
march,19,4250
march,20,4150
