month,date,price
april,1,3950
april,2,4000
april,3,4050
april,4,4100
april,5,4300
april,6,4200
april,7,4150
april,8,4250
april,9,4350
april,10,4300
april,11,4100
april,12,4250
april,13,4000
april,14,3950
april,15,3900
april,16,4150
april,17,3950
april,18,4150
april,19,4250
april,20,4500
april,1,4250
april,2,4250
april,3,4300
april,4,4500
april,5,4500
april,6,4600
april,7,4350
april,8,4300
april,9,4300
april,10,4400
april,11,4700
april,12,4500
april,13,4500
april,14,4520
april,15,4400
april,16,4550
april,17,4700
april,18,4780
april,19,4400
april,20,4660
april,1,5781
april,2,5812
april,3,5781
april,4,5793
april,5,5781
april,6,5781
april,7,5812
april,8,5781
april,9,5781
april,10,5687
april,11,5650
april,12,5687
april,13,5562
april,14,5593
april,15,5562
april,16,5593
april,17,5575
april,18,5562
april,19,5593
april,20,5575
april,1,4400
april,2,4350
april,3,4500
april,4,4000
april,5,4500
april,6,4500
april,7,4800
april,8,5000
april,9,5000
april,10,4600
april,11,4200
april,12,4400
april,13,4300
april,14,4400
april,15,4450
april,16,4750
april,17,4300
april,18,4900
april,19,4450
april,20,4570
