month,date,price
jan,1,4100
jan,2,4150
jan,3,4200
jan,4,4200
jan,5,4220
jan,6,4250
jan,7,4200
jan,8,4100
jan,9,4000
jan,10,1550
jan,11,4000
jan,12,3925
jan,13,4100
jan,14,4100
jan,15,4100
jan,16,4050
jan,17,4050
jan,18,4050
jan,19,4025
jan,20,4050
jan,1,4800
jan,2,4900
jan,3,4880
jan,4,4750
jan,5,4800
jan,6,4800
jan,7,4780
jan,8,4750
jan,9,4700
jan,10,4780
jan,11,4750
jan,12,4860
jan,13,4750
jan,14,4800
jan,15,4840
jan,16,4750
jan,17,4700
jan,18,4700
jan,19,4750
jan,20,4750
jan,1,5531
jan,2,5537
jan,3,5562
jan,4,5562
jan,5,5562
jan,6,5568
jan,7,5562
jan,8,5537
jan,9,5537
jan,10,5512
jan,11,5512
jan,12,5531
jan,13,5518
jan,14,5537
jan,15,5531
jan,16,5543
jan,17,5512
jan,18,5512
jan,19,5512
jan,20,5475
