month,date,price
march,1,4020
march,2,3750
march,3,4025
march,4,4010
march,5,4030
march,6,4040
march,7,4025
march,8,4080
march,9,3750
march,10,4150
march,11,3750
march,12,4230
march,13,4100
march,14,4110
march,15,4105
march,16,3750
march,17,4270
march,18,4340
march,19,4360
march,20,4360
march,1,4370
march,2,3640
march,3,4350
march,4,4683
march,5,4700
march,6,3685
march,7,4365
march,8,4713
march,9,4450
march,10,4685
march,11,4671
march,12,4631
march,13,4578
march,14,4581
march,15,4625
march,16,4619
march,17,4641
march,18,4681
march,19,4665
march,20,4663
march,1,5944
march,2,5860
march,3,6091
march,4,6114
march,5,6115
march,6,6164
march,7,6061
march,8,6000
march,9,5993
march,10,6131
march,11,6100
march,12,6030
march,13,6050
march,14,6040
march,15,6000
march,16,5850
march,17,5800
march,18,5800
march,19,5870
march,20,5900
march,1,5030
march,2,5011
march,3,5080
march,4,5150
march,5,5040
march,6,5040
march,7,5030
march,8,5010
march,9,4900
march,10,4850
march,11,4890
march,12,4800
march,13,4925
march,14,4900
march,15,4850
march,16,4880
march,17,4880
march,18,4890
march,19,4800
march,20,4855
march,1,5360
march,2,5505
march,3,5505
march,4,5510
march,5,5480
march,6,5575
march,7,5600
march,8,5620
march,9,5710
march,10,5700
march,11,5800
march,12,6000
march,13,5900
march,14,5955
march,15,6015
march,16,6070
march,17,6070
march,18,6050
march,19,6000
march,20,5950
