month,date,price
feb,1,3990
feb,2,3950
feb,3,3970
feb,4,3950
feb,5,3970
feb,6,3980
feb,7,3850
feb,8,3985
feb,9,3970
feb,10,3950
feb,11,4010
feb,12,4050
feb,13,4050
feb,14,3950
feb,15,3990
feb,16,4010
feb,17,4090
feb,18,4090
feb,19,3980
feb,20,3940
feb,1,4525
feb,2,4495
feb,3,4510.5
feb,4,4567.5
feb,5,4537.5
feb,6,4473
feb,7,4560
feb,8,4308.5
feb,9,4410.5
feb,10,4440
feb,11,4578.5
feb,12,4560
feb,13,4589.5
feb,14,4359.5
feb,15,4555
feb,16,4656
feb,17,4660
feb,18,4557
feb,19,4570
feb,20,4645
feb,1,5850
feb,2,5900
feb,3,5800
feb,4,6000
feb,5,6100
feb,6,5900
feb,7,6000
feb,8,6000
feb,9,6100
feb,10,6000
feb,11,6000
feb,12,6000
feb,13,6000
feb,14,5900
feb,15,6100
feb,16,6100
feb,17,6200
feb,18,6300
feb,19,6250
feb,20,6200
feb,1,5350
feb,2,5390
feb,3,5450
feb,4,5350
feb,5,5320
feb,6,5290
feb,7,5390
feb,8,5390
feb,9,5250
feb,10,5160
feb,11,5150
feb,12,5150
feb,13,5160
feb,14,5210
feb,15,5210
feb,16,5220
feb,17,5150
feb,18,5110
feb,19,5105
feb,20,5195
feb,1,5470
feb,2,5451
feb,3,5440
feb,4,5420
feb,5,5470
feb,6,5451
feb,7,5426
feb,8,5450
feb,9,5450
feb,10,5450
feb,11,5454
feb,12,5450
feb,13,5504
feb,14,5300
feb,15,5555
feb,16,5450
feb,17,5450
feb,18,5451
feb,19,5510
feb,20,5570
