month,date,price
march,1,4010
march,2,4090
march,3,4090
march,4,3980
march,5,3940
march,6,3990
march,7,3980
march,8,3990
march,9,4050
march,10,3990
march,11,4050
march,12,4150
march,13,4190
march,14,4150
march,15,4180
march,16,4250
march,17,4399
march,18,4450
march,19,4350
march,20,4500
march,1,4542.5
march,2,4483
march,3,4565
march,4,4690
march,5,4600.5
march,6,4650
march,7,4366.5
march,8,4621
march,9,4621
march,10,4635.5
march,11,4575.5
march,12,4495.5
march,13,4496.5
march,14,4492.5
march,15,4581
march,16,4490
march,17,4512.5
march,18,4585.5
march,19,4587.5
march,20,4600
march,1,5980
march,2,5910
march,3,5910
march,4,6080
march,5,6000
march,6,6010
march,7,5990
march,8,6000
march,9,6100
march,10,5820
march,11,5940
march,12,6090
march,13,5900
march,14,6180
march,15,6000
march,16,6000
march,17,6050
march,18,6000
march,19,5899
march,20,5990
march,1,5220
march,2,5210
march,3,5110
march,4,5070
march,5,5035
march,6,4990
march,7,4890
march,8,4850
march,9,4850
march,10,4950
march,11,4950
march,12,4950
march,13,5010
march,14,4950
march,15,4950
march,16,4950
march,17,4890
march,18,4920
march,19,4890
march,20,4810
march,1,5460
march,2,5470
march,3,5451
march,4,5550
march,5,5650
march,6,5570
march,7,5540
march,8,5551
march,9,5550
march,10,5570
march,11,5510
march,12,5750
march,13,5710
march,14,5910
march,15,6150
march,16,6190
march,17,6100
march,18,6180
march,19,6174
march,20,6250
