month,date,price
feb,1,3200
feb,2,3850
feb,3,3900
feb,4,3900
feb,5,3800
feb,6,3961
feb,7,3900
feb,8,3910
feb,9,3700
feb,10,4020
feb,11,4000
feb,12,4000
feb,13,3960
feb,14,3940
feb,15,4000
feb,16,4010
feb,17,4000
feb,18,4010
feb,19,3950
feb,20,3600
feb,1,4520
feb,2,4475
feb,3,4470
feb,4,4345
feb,5,4300
feb,6,4365
feb,7,4275
feb,8,4240
feb,9,4290
feb,10,4440
feb,11,4450
feb,12,4440
feb,13,4535
feb,14,4520
feb,15,4410
feb,16,4600
feb,17,4680
feb,18,4525
feb,19,4455
feb,20,4450
feb,1,5850
feb,2,5821
feb,3,5910
feb,4,5900
feb,5,5800
feb,6,5900
feb,7,5860
feb,8,5890
feb,9,5900
feb,10,5600
feb,11,5800
feb,12,5931
feb,13,5926
feb,14,5950
feb,15,5925
feb,16,5950
feb,17,5796
feb,18,5814
feb,19,5941
feb,20,5907
feb,1,5200
feb,2,4845
feb,3,5210
feb,4,5100
feb,5,4950
feb,6,4760
feb,7,5100
feb,8,5151
feb,9,5020
feb,10,5100
feb,11,5050
feb,12,5030
feb,13,4951
feb,14,4852
feb,15,4520
feb,16,4645
feb,17,4605
feb,18,4630
feb,19,4880
feb,20,4751
feb,1,5400
feb,2,5400
feb,3,5425
feb,4,5400
feb,5,5370
feb,6,5400
feb,7,5400
feb,8,5390
feb,9,5265
feb,10,5400
feb,11,5410
feb,12,5400
feb,13,5400
feb,14,5420
feb,15,5385
feb,16,5385
feb,17,5450
feb,18,5400
feb,19,5425
feb,20,5400
