month,date,price
jan,1,4050
jan,2,4100
jan,3,4125
jan,4,4100
jan,5,3925
jan,6,4171
jan,7,4230
jan,8,4190
jan,9,4100
jan,10,4100
jan,11,4165
jan,12,3865
jan,13,4050
jan,14,3980
jan,15,3850
jan,16,3900
jan,17,3900
jan,18,3300
jan,19,3700
jan,20,3505
jan,1,4600
jan,2,4600
jan,3,4300
jan,4,4555
jan,5,4545
jan,6,4400
jan,7,4295
jan,8,4305
jan,9,4360
jan,10,4340
jan,11,4525
jan,12,4400
jan,13,4500
jan,14,4515
jan,15,4570
jan,16,4520
jan,17,4475
jan,18,4470
jan,19,4345
jan,20,4300
jan,1,5300
jan,2,5220
jan,3,5215
jan,4,5350
jan,5,4878
jan,6,5400
jan,7,5450
jan,8,5440
jan,9,5551
jan,10,5700
jan,11,5721
jan,12,5455
jan,13,5575
jan,14,5300
jan,15,5360
jan,16,5525
jan,17,5750
jan,18,5780
jan,19,5500
jan,20,5760
jan,1,5200
jan,2,4300
jan,3,5150
jan,4,5085
jan,5,5364
jan,6,5000
jan,7,5146
jan,8,5231
jan,9,5200
jan,10,5300
jan,11,5151
jan,12,5474
jan,13,5340
jan,14,5400
jan,15,5360
jan,16,5360
jan,17,5383
jan,18,5305
jan,19,5311
jan,20,5250
jan,1,5450
jan,2,5415
jan,3,5000
jan,4,5414
jan,5,5445
jan,6,5460
jan,7,5350
jan,8,5370
jan,9,5370
jan,10,5400
jan,11,5365
jan,12,5350
jan,13,5425
jan,14,5382
jan,15,5400
jan,16,5400
jan,17,5400
jan,18,5376
jan,19,5400
jan,20,5200
