month,date,price
march,1,3801
march,2,3804
march,3,3838
march,4,3840
march,5,3829
march,6,3826
march,7,3806
march,8,3817
march,9,3850
march,10,3803
march,11,3817
march,12,3826
march,13,3880
march,14,3892
march,15,3872
march,16,3865
march,17,3913
march,18,3936
march,19,3930
march,20,3971
march,1,4417
march,2,4448
march,3,4427
march,4,4463
march,5,4420
march,6,4577
march,7,4383
march,8,4446
march,9,4540
march,10,4444
march,11,4398
march,12,4449
march,13,4329
march,14,4321
march,15,4284
march,16,4181
march,17,4086
march,18,4089
march,19,4006
march,20,4102
march,1,5834
march,2,5871
march,3,5901
march,4,5859
march,5,5834
march,6,5911
march,7,5860
march,8,5809
march,9,5785
march,10,5647
march,11,5705
march,12,5717
march,13,5704
march,14,5685
march,15,5660
march,16,5723
march,17,5680
march,18,5666
march,19,5629
march,20,5657
march,1,3887
march,2,3955
march,3,4053
march,4,3899
march,5,3958
march,6,4046
march,7,3942
march,8,3859
march,9,3646
march,10,3769
march,11,3404
march,12,3615
march,13,3390
march,14,3455
march,15,3492
march,16,3533
march,17,3487
march,18,3665
march,19,3516
march,20,3367
march,1,5247
march,2,5264
march,3,5316
march,4,5295
march,5,5350
march,6,5459
march,7,5461
march,8,5589
march,9,5681
march,10,5788
march,11,5842
march,12,5767
march,13,5832
march,14,5962
march,15,5813
march,16,5924
march,17,5858
march,18,5983
march,19,6004
march,20,6034
