month,date,price
dec,1,4289
dec,2,4481
dec,3,4209
dec,4,4401
dec,5,4399
dec,6,4309
dec,7,4509
dec,8,4549
dec,9,4539
dec,10,4569
dec,11,4630
dec,12,4611
dec,13,4611
dec,14,4739
dec,15,4739
dec,16,4249
dec,17,4819
dec,18,4799
dec,19,4870
dec,20,4749
dec,1,5300
dec,2,5200
dec,3,5300
dec,4,5300
dec,5,5300
dec,6,5300
dec,7,5300
dec,8,5300
dec,9,5250
dec,10,5150
dec,11,5000
dec,12,5200
dec,13,5200
dec,14,5250
dec,15,5200
dec,16,5200
dec,17,5250
dec,18,5300
dec,19,5100
dec,20,5000
dec,1,5600
dec,2,5600
dec,3,5650
dec,4,5700
dec,5,5500
dec,6,5600
dec,7,5500
dec,8,5325
dec,9,5400
dec,10,5900
dec,11,5700
dec,12,5700
dec,13,5650
dec,14,5650
dec,15,5700
dec,16,5700
dec,17,5600
dec,18,5750
dec,19,5700
dec,20,5500
