month,date,price
feb,1,4050
feb,2,4050
feb,3,4050
feb,4,4050
feb,5,4050
feb,6,4050
feb,7,4050
feb,8,4050
feb,9,4050
feb,10,4050
feb,11,4050
feb,12,4050
feb,13,4050
feb,14,4050
feb,15,4050
feb,16,4047
feb,17,4047
feb,18,4044
feb,19,4010
feb,20,4010
feb,1,5000
feb,2,5000
feb,3,5550
feb,4,5100
feb,5,5500
feb,6,5900
feb,7,5800
feb,8,5800
feb,9,5600
feb,10,5800
feb,11,6000
feb,12,5825
feb,13,5200
feb,14,5000
feb,15,5900
feb,16,5500
feb,17,5500
feb,18,5000
feb,19,5500
feb,20,5000
feb,1,5300
feb,2,5275
feb,3,4900
feb,4,4800
feb,5,4300
feb,6,4900
feb,7,4775
feb,8,4725
feb,9,4500
feb,10,4800
feb,11,4700
feb,12,5050
feb,13,4350
feb,14,4000
feb,15,4575
feb,16,4600
feb,17,4200
feb,18,4025
feb,19,4000
feb,20,4900
feb,1,5625
feb,2,5700
feb,3,5650
feb,4,4700
feb,5,5525
feb,6,5500
feb,7,5675
feb,8,5600
feb,9,5500
feb,10,5625
feb,11,5500
feb,12,5525
feb,13,4250
feb,14,4650
feb,15,4650
feb,16,3900
feb,17,5350
feb,18,5200
feb,19,5525
feb,20,5350
feb,1,5110
