month,date,price
jan,1,4000
jan,2,4100
jan,3,4000
jan,4,4000
jan,5,4000
jan,6,4100
jan,7,4000
jan,8,4000
jan,9,4000
jan,10,4000
jan,11,4050
jan,12,4050
jan,13,4000
jan,14,3950
jan,15,3900
jan,16,3900
jan,17,3800
jan,18,4000
jan,19,3800
jan,20,3800
jan,1,4800
jan,2,4800
jan,3,4700
jan,4,4800
jan,5,4700
jan,6,4700
jan,7,4700
jan,8,4400
jan,9,4550
jan,10,4800
jan,11,4300
jan,12,4700
jan,13,4550
jan,14,4400
jan,15,4760
jan,16,4850
jan,17,4750
jan,18,4750
jan,19,4500
jan,20,4850
jan,1,5250
jan,2,5275
jan,3,5250
jan,4,5350
jan,5,5300
jan,6,5300
jan,7,5275
jan,8,5500
jan,9,5400
jan,10,5300
jan,11,5500
jan,12,5400
jan,13,5500
jan,14,5550
jan,15,5550
jan,16,5800
jan,17,5800
jan,18,5800
jan,19,5650
jan,20,5300
jan,1,4500
jan,2,5041
jan,3,5250
jan,4,4900
jan,5,5500
jan,6,4750
jan,7,4500
jan,8,4200
jan,9,5200
jan,10,5000
jan,11,4500
jan,12,4850
jan,13,4900
jan,14,4725
jan,15,4850
jan,16,4600
jan,17,5000
jan,18,4600
jan,19,5250
jan,20,4900
jan,1,5400
jan,2,5500
jan,3,5400
jan,4,5600
jan,5,5600
jan,6,5500
jan,7,5600
jan,8,5400
jan,9,5650
jan,10,5300
jan,11,5700
jan,12,5300
jan,13,5650
jan,14,5350
jan,15,5400
jan,16,5200
jan,17,5700
jan,18,5650
jan,19,4800
jan,20,5625
