month,date,price
april,1,4032
april,2,4060
april,3,4189
april,4,4180
april,5,4190
april,6,4126
april,7,4142
april,8,4171
april,9,4190
april,10,4189
april,11,4096
april,12,4170
april,13,4134
april,14,4190
april,15,4150
april,16,4337
april,17,4019
april,18,4450
april,19,4554
april,20,4460
april,1,3165
april,2,3450
april,3,3816
april,4,3935
april,5,4192
april,6,3969
april,7,4673
april,8,4669
april,9,3050
april,10,3953
april,11,4792
april,12,3925
april,13,4505
april,14,3589
april,15,4808
april,16,4738
april,17,4768
april,18,4427
april,19,4112
april,20,4156
april,1,3103
april,2,3398
april,3,3998
april,4,4151
april,5,3689
april,6,4198
april,7,4771
april,8,5181
april,9,4170
april,10,4287
april,11,4176
april,12,3988
april,13,3470
april,14,3787
april,15,3809
april,16,4170
april,17,3898
april,18,3678
april,19,3767
april,20,4634
