month,date,price
dec,1,4259
dec,2,4291
dec,3,4215
dec,4,4307
dec,5,4385
dec,6,4210
dec,7,4375
dec,8,4404
dec,9,4399
dec,10,4380
dec,11,4351
dec,12,4375
dec,13,4598
dec,14,4380
dec,15,4697
dec,16,4626
dec,17,4796
dec,18,4845
dec,19,4898
dec,20,4890
dec,1,5067
dec,2,5015
dec,3,5015
dec,4,5097
dec,5,4949
dec,6,5069
dec,7,4695
dec,8,5167
dec,9,5107
dec,10,5128
dec,11,5000
dec,12,4895
dec,13,4945
dec,14,5072
dec,15,4750
dec,16,5080
dec,17,4962
dec,18,4879
dec,19,5185
dec,20,4976
dec,1,5500
dec,2,5200
dec,3,5190
dec,4,5265
dec,5,5200
dec,6,5050
dec,7,5255
dec,8,5499
dec,9,5169
dec,10,5325
dec,11,5345
dec,12,5051
dec,13,5252
dec,14,5460
dec,15,5425
dec,16,5525
dec,17,5350
dec,18,5369
dec,19,5655
dec,20,5299
