month,date,price
jan,1,4294
jan,2,4210
jan,3,4233
jan,4,4100
jan,5,4150
jan,6,4229
jan,7,4190
jan,8,4152
jan,9,4150
jan,10,4150
jan,11,4150
jan,12,4150
jan,13,3997
jan,14,3988
jan,15,3950
jan,16,3911
jan,17,4030
jan,18,3790
jan,19,3814
jan,20,3810
jan,1,4869
jan,2,4890
jan,3,4895
jan,4,5270
jan,5,5225
jan,6,5314
jan,7,5420
jan,8,5379
jan,9,5350
jan,10,5278
jan,11,5383
jan,12,5373
jan,13,5736
jan,14,5634
jan,15,5688
jan,16,5758
jan,17,5705
jan,18,5907
jan,19,5673
jan,20,4975
jan,1,5270
jan,2,5190
jan,3,5500
jan,4,5210
jan,5,5200
jan,6,5250
jan,7,5145
jan,8,5300
jan,9,5190
jan,10,5200
jan,11,5200
jan,12,5599
jan,13,5300
jan,14,4890
jan,15,5180
jan,16,5500
jan,17,4850
jan,18,5290
jan,19,4970
jan,20,4940
jan,1,5690
jan,2,5360
jan,3,4900
jan,4,5150
jan,5,5435
jan,6,5169
jan,7,5450
jan,8,5475
jan,9,5600
jan,10,5245
jan,11,5794
jan,12,5000
jan,13,5300
jan,14,5215
jan,15,5300
jan,16,5155
jan,17,5495
jan,18,5085
jan,19,5189
jan,20,5006
