month,date,price
nov,1,4260
nov,2,4307
nov,3,4180
nov,4,4180
nov,5,4202
nov,6,4180
nov,7,4148
nov,8,4094
nov,9,4122
nov,10,4080
nov,11,4205
nov,12,4166
nov,13,4210
nov,14,4311
nov,15,4192
nov,16,4180
nov,17,4245
nov,18,4210
nov,19,4111
nov,20,4090
nov,1,5149
nov,2,5212
nov,3,5281
nov,4,5261
nov,5,5001
nov,6,5133
nov,7,5283
nov,8,5076
nov,9,5286
nov,10,5299
nov,11,5278
nov,12,5359
nov,13,5240
nov,14,5165
nov,15,5382
nov,16,5283
nov,17,5347
nov,18,5198
nov,19,5205
nov,20,5154
nov,1,5419
nov,2,5365
nov,3,5405
nov,4,5300
nov,5,5420
nov,6,5100
nov,7,5475
nov,8,5500
nov,9,5600
nov,10,5085
nov,11,5700
nov,12,5565
nov,13,5450
nov,14,5451
nov,15,5258
nov,16,5475
nov,17,5309
nov,18,5393
nov,19,5269
nov,20,5385
