month,date,price
april,1,3720
april,2,3700
april,3,3700
april,4,3800
april,5,3875
april,6,4500
april,7,3800
april,8,3811
april,9,3800
april,10,3775
april,11,3800
april,12,3800
april,13,3700
april,14,3700
april,15,3800
april,16,3800
april,17,3800
april,18,3850
april,19,3800
april,20,3800
april,1,4000
april,2,4050
april,3,4100
april,4,4050
april,5,4100
april,6,4100
april,7,4100
april,8,4200
april,9,4200
april,10,4200
april,11,4100
april,12,4200
april,13,4100
april,14,4150
april,15,4200
april,16,4200
april,17,4200
april,18,4100
april,19,4200
april,20,4100
april,1,5300
april,2,5200
april,3,5250
april,4,5250
april,5,5300
april,6,5200
april,7,5200
april,8,5200
april,9,5250
april,10,5200
april,11,5200
april,12,5150
april,13,5000
april,14,5150
april,15,5150
april,16,5200
april,17,5100
april,18,5100
april,19,5100
april,20,5000
april,1,3402
april,2,3427
april,3,3350
april,4,3391
april,5,3638
april,6,3681
april,7,3533
april,8,3650
april,9,3837
april,10,3763
april,11,3775
april,12,3633
april,13,3763
april,14,4228
april,15,5000
april,16,4629
april,17,4051
april,18,3681
april,19,4267
april,20,4500
april,1,5256
april,2,5158
april,3,5547
april,4,5439
april,5,6100
april,6,5779
april,7,6100
april,8,6061
april,9,6127
april,10,5254
april,11,5313
april,12,2200
april,13,6080
april,14,5652
april,15,5963
april,16,5385
april,17,6175
april,18,6100
april,19,6000
april,20,6100
