month,date,price
feb,1,3630
feb,2,3600
feb,3,3630
feb,4,3650
feb,5,3680
feb,6,3650
feb,7,3620
feb,8,3600
feb,9,3625
feb,10,3650
feb,11,3625
feb,12,3600
feb,13,3650
feb,14,3600
feb,15,3650
feb,16,3600
feb,17,3650
feb,18,3625
feb,19,3650
feb,20,3625
feb,1,4000
feb,2,4000
feb,3,4050
feb,4,4011
feb,5,4000
feb,6,4050
feb,7,4000
feb,8,4000
feb,9,4050
feb,10,4000
feb,11,4050
feb,12,4000
feb,13,4389
feb,14,4000
feb,15,4050
feb,16,4000
feb,17,4000
feb,18,4050
feb,19,4050
feb,20,4000
feb,1,5200
feb,2,5200
feb,3,5250
feb,4,5200
feb,5,5200
feb,6,5150
feb,7,5150
feb,8,5100
feb,9,5050
feb,10,5100
feb,11,5050
feb,12,5100
feb,13,5000
feb,14,5010
feb,15,5050
feb,16,5100
feb,17,5050
feb,18,5150
feb,19,5300
feb,20,5250
feb,1,5331
feb,2,4857
feb,3,4915
feb,4,4534
feb,5,4745
feb,6,5264
feb,7,5314
feb,8,4809
feb,9,5228
feb,10,4924
feb,11,4300
feb,12,4573
feb,13,4205
feb,14,4979
feb,15,4716
feb,16,4582
feb,17,4434
feb,18,4170
feb,19,4522
feb,20,4227
feb,1,5286
feb,2,5284
feb,3,6397
feb,4,5142
feb,5,5988
feb,6,5498
feb,7,5224
feb,8,5281
feb,9,5116
feb,10,5264
feb,11,5403
feb,12,5230
feb,13,5094
feb,14,6094
feb,15,5300
feb,16,5250
feb,17,5250
feb,18,5069
feb,19,4858
feb,20,5200
