month,date,price
jun,1,3900
jun,2,4000
jun,3,4100
jun,4,4000
jun,5,4100
jun,6,4000
jun,7,4050
jun,8,4000
jun,9,4000
jun,10,4000
jun,11,4011
jun,12,4000
jun,13,4000
jun,14,4000
jun,15,4000
jun,16,4050
jun,17,4000
jun,18,4000
jun,19,4000
jun,20,4000
jun,1,4300
jun,2,4420
jun,3,4900
jun,4,4900
jun,5,4580
jun,6,5200
jun,7,4350
jun,8,4300
jun,9,5411
jun,10,5400
jun,11,5065
jun,12,5000
jun,13,5565
jun,14,5300
jun,15,5250
jun,16,5020
jun,17,5000
jun,18,5100
jun,19,5050
jun,20,5430
jun,1,5600
jun,2,5000
jun,3,5050
jun,4,5000
jun,5,5000
jun,6,5000
jun,7,5000
jun,8,5100
jun,9,5150
jun,10,5600
jun,11,5150
jun,12,5100
jun,13,5000
jun,14,5500
jun,15,5475
jun,16,5100
jun,17,5000
jun,18,5100
jun,19,5000
jun,20,5100
jun,1,4198
jun,2,4485
jun,3,4793
jun,4,5200
jun,5,4332
jun,6,4741
jun,7,4615
jun,8,4485
jun,9,4449
jun,10,4832
jun,11,5017
jun,12,4894
jun,13,5049
jun,14,5046
jun,15,4900
jun,16,4400
jun,17,5500
jun,18,4392
jun,19,4832
jun,20,4687
jun,1,5859
jun,2,5900
jun,3,5650
jun,4,5559
jun,5,6189
jun,6,5600
jun,7,6311
jun,8,5526
jun,9,6421
jun,10,6200
jun,11,6500
jun,12,6005
jun,13,6380
jun,14,6300
jun,15,5900
jun,16,6000
jun,17,6100
jun,18,5900
jun,19,6000
jun,20,6100
