month,date,price
dec,1,3900
dec,2,3900
dec,3,3900
dec,4,3900
dec,5,3900
dec,6,3900
dec,7,3950
dec,8,3900
dec,9,3900
dec,10,3950
dec,11,3900
dec,12,3850
dec,13,3850
dec,14,3900
dec,15,3900
dec,16,3900
dec,17,3900
dec,18,3900
dec,19,3900
dec,20,3900
dec,1,4600
dec,2,4600
dec,3,4600
dec,4,4600
dec,5,4600
dec,6,4600
dec,7,4600
dec,8,4600
dec,9,4600
dec,10,4600
dec,11,4600
dec,12,4600
dec,13,4600
dec,14,4600
dec,15,4600
dec,16,4600
dec,17,4600
dec,18,4600
dec,19,4600
dec,20,4600
dec,1,5300
dec,2,5100
dec,3,5200
dec,4,5100
dec,5,5150
dec,6,5100
dec,7,5100
dec,8,5200
dec,9,5100
dec,10,5150
dec,11,5150
dec,12,5200
dec,13,5200
dec,14,5200
dec,15,5100
dec,16,5100
dec,17,5200
dec,18,5050
dec,19,5200
dec,20,5050
