month,date,price
feb,1,3900
feb,2,3800
feb,3,3750
feb,4,3750
feb,5,3800
feb,6,3800
feb,7,3800
feb,8,3800
feb,9,3800
feb,10,3800
feb,11,4487
feb,12,3800
feb,13,3800
feb,14,3800
feb,15,3900
feb,16,3900
feb,17,3900
feb,18,3800
feb,19,3900
feb,20,3900
feb,1,4300
feb,2,4300
feb,3,4300
feb,4,4300
feb,5,4300
feb,6,4300
feb,7,4300
feb,8,4300
feb,9,4300
feb,10,4300
feb,11,4300
feb,12,4300
feb,13,4300
feb,14,4300
feb,15,4300
feb,16,4300
feb,17,4300
feb,18,4300
feb,19,4300
feb,20,4300
feb,1,5200
feb,2,5400
feb,3,5300
feb,4,5200
feb,5,5500
feb,6,5300
feb,7,5400
feb,8,5800
feb,9,5600
feb,10,5900
feb,11,5500
feb,12,5100
feb,13,5200
feb,14,5300
feb,15,5400
feb,16,5300
feb,17,5200
feb,18,5400
feb,19,5300
feb,20,5400
feb,1,4600
feb,2,4700
feb,3,4400
feb,4,4500
feb,5,4700
feb,6,4700
feb,7,4700
feb,8,4600
feb,9,4700
feb,10,4700
feb,11,4700
feb,12,4500
feb,13,4600
feb,14,4500
feb,15,4400
feb,16,4500
feb,17,4600
feb,18,4600
feb,19,4500
feb,20,4200
feb,1,5000
feb,2,5300
feb,3,5000
feb,4,5000
feb,5,5000
feb,6,5050
feb,7,5000
feb,8,5000
feb,9,5000
feb,10,5300
feb,11,5000
feb,12,5000
feb,13,5150
feb,14,5000
feb,15,5000
feb,16,5050
feb,17,5000
feb,18,5000
feb,19,5000
feb,20,4750
