month,date,price
jan,1,5100
jan,2,5000
jan,3,5100
jan,4,5200
jan,5,5100
jan,6,5100
jan,7,5200
jan,8,5100
jan,9,5200
jan,10,4900
jan,11,4900
jan,12,4900
jan,13,5200
jan,14,5100
jan,15,5100
jan,16,5100
jan,17,5100
jan,18,5000
jan,19,5200
jan,20,5300
jan,1,4100
jan,2,4150
jan,3,4075
jan,4,4150
jan,5,4050
jan,6,4050
jan,7,4075
jan,8,4100
jan,9,4050
jan,10,4100
jan,11,4150
jan,12,4150
jan,13,4150
jan,14,4150
jan,15,4050
jan,16,4050
jan,17,4100
jan,18,4050
jan,19,4050
jan,20,4150
jan,1,5100
jan,2,5000
jan,3,5100
jan,4,5200
jan,5,5100
jan,6,5100
jan,7,5200
jan,8,5100
jan,9,5200
jan,10,4900
jan,11,4900
jan,12,4900
jan,13,5200
jan,14,5100
jan,15,5100
jan,16,5100
jan,17,5100
jan,18,5000
jan,19,5200
jan,20,5300
jan,1,4600
jan,2,4800
jan,3,4900
jan,4,4600
jan,5,4900
jan,6,4800
jan,7,4700
jan,8,4700
jan,9,4900
jan,10,4300
jan,11,4400
jan,12,4400
jan,13,4600
jan,14,4600
jan,15,4400
jan,16,4500
jan,17,4600
jan,18,4900
jan,19,4700
jan,20,4500
jan,1,5200
jan,2,5000
jan,3,5200
jan,4,5100
jan,5,5200
jan,6,5100
jan,7,5200
jan,8,5200
jan,9,5300
jan,10,5200
jan,11,5200
jan,12,5100
jan,13,5000
jan,14,5100
jan,15,5100
jan,16,5000
jan,17,5000
jan,18,5100
jan,19,5300
jan,20,5100
