month,date,price
april,1,4000
april,2,4400
april,3,4400
april,4,4100
april,5,4100
april,6,4210
april,7,4325
april,8,4200
april,9,4200
april,10,4375
april,11,4400
april,12,4300
april,13,4325
april,14,4390
april,15,4250
april,16,4325
april,17,4350
april,18,4370
april,19,4325
april,20,4400
april,1,3175
april,2,4425
april,3,4500
april,4,4550
april,5,4525
april,6,4533
april,7,4657
april,8,4575
april,9,4600
april,10,4600
april,11,4625
april,12,4625
april,13,4730
april,14,4562
april,15,4675
april,16,4650
april,17,4800
april,18,4837
april,19,4837
april,20,4800
april,1,4725
april,2,5545
april,3,5425
april,4,5400
april,5,5425
april,6,5475
april,7,5425
april,8,5350
april,9,5400
april,10,5500
april,11,5210
april,12,5450
april,13,5400
april,14,5300
april,15,5100
april,16,5450
april,17,5425
april,18,5325
april,19,4850
april,20,5450
april,1,5410
april,2,4581
april,3,4650
april,4,4600
april,5,4650
april,6,4650
april,7,4000
april,8,4700
april,9,4700
april,10,4691
april,11,4850
april,12,4500
april,13,4460
april,14,4850
april,15,4600
april,16,4900
april,17,4455
april,18,4000
april,19,4760
april,20,4650
april,1,4700
april,2,5710
april,3,5735
april,4,5735
april,5,5730
april,6,5790
april,7,5805
april,8,5825
april,9,5875
april,10,5905
april,11,6030
april,12,6030
april,13,6065
april,14,6080
april,15,6040
april,16,6080
april,17,6075
april,18,6205
april,19,6201
april,20,6202
