month,date,price
dec,1,4025
dec,2,4025
dec,3,4025
dec,4,4015
dec,5,4025
dec,6,4125
dec,7,4025
dec,8,4050
dec,9,4050
dec,10,4050
dec,11,4050
dec,12,4150
dec,13,4150
dec,14,4175
dec,15,4150
dec,16,4200
dec,17,4250
dec,18,4250
dec,19,4250
dec,20,4300
dec,1,4855
dec,2,4850
dec,3,4915
dec,4,4960
dec,5,4950
dec,6,4980
dec,7,4900
dec,8,4925
dec,9,4865
dec,10,4925
dec,11,4925
dec,12,5050
dec,13,5000
dec,14,5050
dec,15,5000
dec,16,5000
dec,17,5000
dec,18,4950
dec,19,4950
dec,20,5050
dec,1,5750
dec,2,5675
dec,3,5680
dec,4,5425
dec,5,5425
dec,6,5450
dec,7,5510
dec,8,5500
dec,9,5550
dec,10,5560
dec,11,5550
dec,12,5530
dec,13,5525
dec,14,5500
dec,15,5510
dec,16,5500
dec,17,5500
dec,18,5400
dec,19,5500
dec,20,5370
