month,date,price
jan,1,3930
jan,2,4010
jan,3,3960
jan,4,4035
jan,5,3990
jan,6,3955
jan,7,3970
jan,8,3925
jan,9,3925
jan,10,3910
jan,11,3910
jan,12,3830
jan,13,3825
jan,14,3875
jan,15,3875
jan,16,3875
jan,17,3775
jan,18,3875
jan,19,3875
jan,20,3775
jan,1,4598
jan,2,4550
jan,3,4700
jan,4,4712
jan,5,4670
jan,6,4600
jan,7,4612
jan,8,4537
jan,9,4487
jan,10,4462
jan,11,4512
jan,12,4485
jan,13,4287
jan,14,4480
jan,15,4425
jan,16,4500
jan,17,4475
jan,18,4595
jan,19,4495
jan,20,4425
jan,1,5100
jan,2,5070
jan,3,5190
jan,4,5275
jan,5,5275
jan,6,5230
jan,7,5350
jan,8,5350
jan,9,5420
jan,10,5400
jan,11,5455
jan,12,5475
jan,13,5425
jan,14,5350
jan,15,5350
jan,16,5250
jan,17,5350
jan,18,5450
jan,19,5480
jan,20,5450
jan,1,5125
jan,2,5100
jan,3,5100
jan,4,5000
jan,5,5100
jan,6,5070
jan,7,5080
jan,8,5080
jan,9,5085
jan,10,5100
jan,11,5000
jan,12,5050
jan,13,5100
jan,14,5100
jan,15,5050
jan,16,5100
jan,17,5050
jan,18,5050
jan,19,5050
jan,20,5000
jan,1,5500
jan,2,5470
jan,3,5500
jan,4,5450
jan,5,5500
jan,6,5500
jan,7,5500
jan,8,5500
jan,9,5490
jan,10,5400
jan,11,5425
jan,12,5425
jan,13,5325
jan,14,5425
jan,15,5325
jan,16,5350
jan,17,5250
jan,18,5350
jan,19,5430
jan,20,5300
