month,date,price
dec,1,4050
dec,2,4050
dec,3,4050
dec,4,4000
dec,5,4090
dec,6,4060
dec,7,4080
dec,8,4050
dec,9,4120
dec,10,4170
dec,11,4170
dec,12,4300
dec,13,4400
dec,14,4450
dec,15,4450
dec,16,4450
dec,17,4400
dec,18,4500
dec,19,4600
dec,20,4600
dec,1,4900
dec,2,4850
dec,3,4975
dec,4,4950
dec,5,4950
dec,6,4950
dec,7,4880
dec,8,4800
dec,9,4850
dec,10,4850
dec,11,5000
dec,12,4850
dec,13,4850
dec,14,4850
dec,15,4980
dec,16,4950
dec,17,5000
dec,18,5000
dec,19,4950
dec,20,5000
dec,1,5200
dec,2,5250
dec,3,5250
dec,4,5200
dec,5,5200
dec,6,5241
dec,7,5250
dec,8,5350
dec,9,5350
dec,10,5300
dec,11,5300
dec,12,5450
dec,13,5350
dec,14,5300
dec,15,5380
dec,16,5400
dec,17,5300
dec,18,5450
dec,19,5450
dec,20,5200
