month,date,price
jan,1,3850
jan,2,3950
jan,3,3850
jan,4,3800
jan,5,3850
jan,6,3850
jan,7,3800
jan,8,3670
jan,9,3800
jan,10,3800
jan,11,3800
jan,12,3800
jan,13,3800
jan,14,3800
jan,15,3545
jan,16,3550
jan,17,3700
jan,18,3700
jan,19,3860
jan,20,3860
jan,1,4800
jan,2,4650
jan,3,4735
jan,4,4650
jan,5,4500
jan,6,4500
jan,7,4500
jan,8,4500
jan,9,4500
jan,10,4600
jan,11,4500
jan,12,4500
jan,13,4550
jan,14,4600
jan,15,4650
jan,16,4600
jan,17,4600
jan,18,4550
jan,19,4600
jan,20,4600
jan,1,5200
jan,2,5220
jan,3,5200
jan,4,5100
jan,5,5250
jan,6,5250
jan,7,5350
jan,8,5320
jan,9,5325
jan,10,5200
jan,11,5275
jan,12,5300
jan,13,5350
jan,14,5400
jan,15,5350
jan,16,5525
jan,17,5600
jan,18,5555
jan,19,5550
jan,20,5555
jan,1,5153
jan,2,5150
jan,3,5120
jan,4,5160
jan,5,5050
jan,6,5050
jan,7,5000
jan,8,5050
jan,9,5000
jan,10,5030
jan,11,5060
jan,12,5125
jan,13,5125
jan,14,5100
jan,15,5020
jan,16,5020
jan,17,5055
jan,18,5060
jan,19,5025
jan,20,5010
jan,1,5450
jan,2,5360
jan,3,5390
jan,4,5400
jan,5,5400
jan,6,5400
jan,7,5380
jan,8,5265
jan,9,5290
jan,10,5375
jan,11,5370
jan,12,5375
jan,13,5370
jan,14,5360
jan,15,5310
jan,16,5340
jan,17,5350
jan,18,5390
jan,19,5390
jan,20,5375
