month,date,price
may,1,3940
may,2,4115
may,3,4030
may,4,4165
may,5,4145
may,6,4095
may,7,4060
may,8,4055
may,9,4035
may,10,3990
may,11,4005
may,12,3930
may,13,3860
may,14,3860
may,15,3890
may,16,3900
may,17,3900
may,18,3940
may,19,3785
may,20,3750
may,1,3850
may,2,3940
may,3,4055
may,4,4125
may,5,4000
may,6,4395
may,7,3775
may,8,3845
may,9,3905
may,10,3910
may,11,3785
may,12,3975
may,13,4000
may,14,3975
may,15,4065
may,16,4050
may,17,4950
may,18,3905
may,19,3760
may,20,3987
may,1,4075
may,2,4075
may,3,5190
may,4,5190
may,5,5190
may,6,4005
may,7,3900
may,8,4055
may,9,5400
may,10,4605
may,11,4070
may,12,4010
may,13,5200
may,14,4130
may,15,4090
may,16,4130
may,17,5250
may,18,5300
may,19,3900
may,20,3900
may,1,4750
may,2,4730
may,3,4760
may,4,4675
may,5,4775
may,6,4800
may,7,4800
may,8,4800
may,9,4800
may,10,4800
may,11,4700
may,12,4800
may,13,4800
may,14,4700
may,15,4800
may,16,4500
may,17,4500
may,18,4800
may,19,4500
may,20,4500
may,1,6200
may,2,6100
may,3,6085
may,4,6000
may,5,6150
may,6,6100
may,7,5900
may,8,5900
may,9,6050
may,10,5700
may,11,4950
may,12,5100
may,13,5850
may,14,5600
may,15,6000
may,16,5500
may,17,5700
may,18,5500
may,19,5800
may,20,5300
