month,date,price
april,1,4030
april,2,3980
april,3,4200
april,4,4360
april,5,4300
april,6,4270
april,7,4300
april,8,4295
april,9,4275
april,10,4280
april,11,4270
april,12,4260
april,13,4130
april,14,4170
april,15,4170
april,16,4100
april,17,4000
april,18,4045
april,19,4150
april,20,4190
april,1,4155
april,2,4300
april,3,4300
april,4,4290
april,5,4165
april,6,4275
april,7,4130
april,8,4240
april,9,4160
april,10,4215
april,11,4150
april,12,4285
april,13,4235
april,14,4085
april,15,4370
april,16,4510
april,17,4250
april,18,4320
april,19,4400
april,20,4295
april,1,5575
april,2,5225
april,3,5399
april,4,5225
april,5,5325
april,6,5280
april,7,5600
april,8,5500
april,9,4865
april,10,5590
april,11,5600
april,12,4730
april,13,4940
april,14,5750
april,15,4815
april,16,4360
april,17,4490
april,18,4500
april,19,4595
april,20,4580
april,1,4800
april,2,4889
april,3,4889
april,4,4855
april,5,4825
april,6,4800
april,7,4835
april,8,4835
april,9,4820
april,10,4820
april,11,4862
april,12,4871
april,13,4940
april,14,4940
april,15,4940
april,16,4850
april,17,4850
april,18,4850
april,19,4865
april,20,4850
april,1,5310
april,2,5600
april,3,5800
april,4,5830
april,5,5800
april,6,5800
april,7,5880
april,8,5750
april,9,5470
april,10,5760
april,11,5690
april,12,6230
april,13,5880
april,14,5690
april,15,5800
april,16,5790
april,17,6145
april,18,5500
april,19,5980
april,20,5925
