month,day,price
april,1,4475
april,2,4500
april,3,4675
april,4,4675
april,5,4675
april,6,4875
april,7,4800
april,8,4750
april,9,4875
april,10,4850
april,11,4850
april,12,4850
april,13,4850
april,14,4875
april,15,4800
april,16,4750
april,17,4875
april,18,4850
april,19,4850
april,20,4800
april,1,5400
april,2,5420
april,3,5500
april,4,5475
april,5,5375
april,6,5300
april,7,5350
april,8,5350
april,9,5150
april,10,5150
april,11,5115
april,12,5000
april,13,5200
april,14,5250
april,15,4900
april,16,4800
april,17,5000
april,18,5200
april,19,5250
april,20,4900
april,1,4525
april,2,4537
april,3,4563
april,4,4525
april,5,4550
april,6,4550
april,7,4587
april,8,4575
april,9,4575
april,10,4563
april,11,4563
april,12,4525
april,13,4525
april,14,4525
april,15,4550
april,16,4500
april,17,4450
april,18,4475
april,19,4475
april,20,4500
april,1,6075
april,2,6163
april,3,6225
april,4,6288
april,5,6250
april,6,6225
april,7,6150
april,8,6362
april,9,6175
april,10,6350
april,11,6288
april,12,6300
april,13,6300
april,14,6250
april,15,6275
april,16,6250
april,17,6225
april,18,6188
april,19,6200
april,20,6300
