month,day,price
may,1,4975
may,2,4987
may,3,4987
may,4,4987
may,5,4862
may,6,4925
may,7,4925
may,8,4925
may,9,4925
may,10,4975
may,11,4975
may,12,5025
may,13,5062
may,14,5160
may,15,5082
may,16,5175
may,17,5207
may,18,5250
may,19,5275
may,20,5375
may,1,4525
may,2,4537
may,3,4563
may,4,4525
may,5,4550
may,6,4550
may,7,4587
may,8,4575
may,9,4575
may,10,4563
may,11,4563
may,12,4525
may,13,4525
may,14,4525
may,15,4550
may,16,4500
may,17,4450
may,18,4475
may,19,4475
may,20,4500
may,1,4625
may,2,4525
may,3,4550
may,4,4550
may,5,4550
may,6,4550
may,7,4550
may,8,4575
may,9,4563
may,10,4550
may,11,4525
may,12,4525
may,13,4513
may,14,4550
may,15,4525
may,16,4550
may,17,4563
may,18,4575
may,19,4550
may,20,4525
may,1,6225
may,2,6187
may,3,6187
may,4,6175
may,5,6288
may,6,6265
may,7,6250
may,8,6138
may,9,6025
may,10,6100
may,11,6238
may,12,4800
may,13,6175
may,14,6250
may,15,6200
may,16,6250
may,17,6300
may,18,6250
may,19,6300
may,20,6250
