month,day,price
april,1,4450
april,2,4440
april,3,4546
april,4,4505
april,5,4536
april,6,4575
april,7,4725
april,8,4787
april,9,4755
april,10,4750
april,11,4875
april,12,4715
april,13,4725
april,14,4725
april,15,4735
april,16,4735
april,17,4550
april,18,4610
april,19,4750
april,20,4750
april,1,5525
april,2,5450
april,3,5350
april,4,5520
april,5,5550
april,6,5337
april,7,5425
april,8,5312
april,9,5312
april,10,5300
april,11,5325
april,12,5287
april,13,5275
april,14,5287
april,15,5250
april,16,5337
april,17,5300
april,18,5275
april,19,5200
april,20,5250
april,1,4050
april,2,4075
april,3,4125
april,4,4100
april,5,4125
april,6,4125
april,7,4150
april,8,4250
april,9,4250
april,10,4225
april,11,4150
april,12,4200
april,13,4200
april,14,4162
april,15,4150
april,16,4100
april,17,4000
april,18,4037
april,19,4000
april,20,4075
april,1,5700
april,2,5825
april,3,5900
april,4,5925
april,5,5925
april,6,5875
april,7,5900
april,8,5875
april,9,5850
april,10,5850
april,11,5875
april,12,5850
april,13,5900
april,14,6025
april,15,6050
april,16,6025
april,17,6087
april,18,6037
april,19,6025
april,20,6025
