month,day,price
feb,1,4300
feb,2,4350
feb,3,4475
feb,4,4450
feb,5,4350
feb,6,4350
feb,7,4400
feb,8,4350
feb,9,4350
feb,10,4350
feb,11,4450
feb,12,4400
feb,13,4470
feb,14,4450
feb,15,4410
feb,16,4425
feb,17,4375
feb,18,4350
feb,19,4415
feb,20,4425
feb,1,5400
feb,2,5500
feb,3,5551
feb,4,5400
feb,5,5430
feb,6,5510
feb,7,5410
feb,8,5501
feb,9,5450
feb,10,5510
feb,11,5485
feb,12,5360
feb,13,5390
feb,14,5350
feb,15,5560
feb,16,5550
feb,17,5480
feb,18,5450
feb,19,5400
feb,20,5412
feb,1,4575
feb,2,4500
feb,3,4510
feb,4,4525
feb,5,4550
feb,6,4500
feb,7,4500
feb,8,4450
feb,9,4500
feb,10,4325
feb,11,4300
feb,12,4275
feb,13,4350
feb,14,4275
feb,15,4300
feb,16,4350
feb,17,4300
feb,18,4300
feb,19,4175
feb,20,4225
feb,1,5250
feb,2,5225
feb,3,5225
feb,4,5225
feb,5,5225
feb,6,5200
feb,7,5225
feb,8,5175
feb,9,5225
feb,10,5150
feb,11,5150
feb,12,5312
feb,13,5200
feb,14,5200
feb,15,5225
feb,16,5187
feb,17,5187
feb,18,5225
feb,19,5150
feb,20,5150
