month,day,price
march,1,4401
march,2,4410
march,3,4425
march,4,4390
march,5,4450
march,6,4450
march,7,4455
march,8,4435
march,9,4350
march,10,4490
march,11,4430
march,12,4420
march,13,4380
march,14,4350
march,15,4300
march,16,4325
march,17,4401
march,18,4375
march,19,4275
march,20,4285
march,1,5450
march,2,5400
march,3,5412
march,4,5500
march,5,5450
march,6,5375
march,7,5450
march,8,5440
march,9,5375
march,10,5350
march,11,5350
march,12,5400
march,13,5350
march,14,5460
march,15,5215
march,16,5337
march,17,5401
march,18,5460
march,19,5460
march,20,5401
march,1,4250
march,2,4312
march,3,4387
march,4,4425
march,5,4412
march,6,3900
march,7,4000
march,8,4075
march,9,4112
march,10,4162
march,11,4000
march,12,4150
march,13,4062
march,14,4025
march,15,3925
march,16,3875
march,17,3900
march,18,4062
march,19,4050
march,20,4050
march,1,5187
march,2,5187
march,3,5225
march,4,5212
march,5,5225
march,6,5200
march,7,5262
march,8,5262
march,9,5350
march,10,5375
march,11,5412
march,12,5500
march,13,5562
march,14,5600
march,15,5550
march,16,5550
march,17,5575
march,18,5650
march,19,5650
march,20,5600
