month,day,price
feb,1,4475
feb,2,4475
feb,3,4465
feb,4,4435
feb,5,4465
feb,6,4465
feb,7,4450
feb,8,4450
feb,9,4455
feb,10,4400
feb,11,4345
feb,12,4350
feb,13,4375
feb,14,4365
feb,15,4395
feb,16,4375
feb,17,4450
feb,18,4475
feb,19,4435
feb,20,4465
feb,1,5575
feb,2,5585
feb,3,5650
feb,4,5665
feb,5,5665
feb,6,5675
feb,7,5550
feb,8,5465
feb,9,5525
feb,10,5620
feb,11,5650
feb,12,5665
feb,13,5650
feb,14,5675
feb,15,5650
feb,16,5515
feb,17,5575
feb,18,5455
feb,19,5465
feb,20,5465
feb,1,4770
feb,2,4900
feb,3,4850
feb,4,4850
feb,5,4700
feb,6,5050
feb,7,5050
feb,8,4900
feb,9,4850
feb,10,4850
feb,11,4850
feb,12,4800
feb,13,4800
feb,14,4800
feb,15,4935
feb,16,4800
feb,17,4925
feb,18,4850
feb,19,4885
feb,20,4885
feb,1,5400
feb,2,5400
feb,3,5400
feb,4,5400
feb,5,5350
feb,6,5350
feb,7,5350
feb,8,5350
feb,9,5350
feb,10,5375
feb,11,5350
feb,12,5400
feb,13,5350
feb,14,5325
feb,15,5350
feb,16,5350
feb,17,5300
feb,18,5300
feb,19,5325
feb,20,5300
