month,day,price
march,1,4470
march,2,4435
march,3,4475
march,4,4445
march,5,4455
march,6,4475
march,7,4465
march,8,4475
march,9,4475
march,10,4465
march,11,4455
march,12,4395
march,13,4450
march,14,4475
march,15,4465
march,16,4450
march,17,4375
march,18,4450
march,19,4385
march,20,4365
march,1,5565
march,2,5565
march,3,5575
march,4,5515
march,5,5675
march,6,5465
march,7,5450
march,8,5575
march,9,5445
march,10,5575
march,11,5575
march,12,5565
march,13,5295
march,14,5545
march,15,5515
march,16,5445
march,17,5455
march,18,5395
march,19,5425
march,20,5495
march,1,4825
march,2,4885
march,3,4885
march,4,4875
march,5,4835
march,6,4845
march,7,4865
march,8,4825
march,9,4775
march,10,4815
march,11,4710
march,12,4715
march,13,4775
march,14,4750
march,15,4835
march,16,4795
march,17,4785
march,18,4785
march,19,4735
march,20,4750
march,1,5375
march,2,5350
march,3,5350
march,4,5350
march,5,5350
march,6,5350
march,7,5350
march,8,5400
march,9,5400
march,10,5400
march,11,5400
march,12,5500
march,13,5500
march,14,5550
march,15,5550
march,16,5650
march,17,5650
march,18,5650
march,19,5700
march,20,5700
