month,day,price
jan,1,5200
jan,2,5200
jan,3,5200
jan,4,5200
jan,5,5200
jan,6,5200
jan,7,5200
jan,8,5200
jan,9,5250
jan,10,5300
jan,11,5300
jan,12,5300
jan,13,5200
jan,14,5200
jan,15,5200
jan,16,5300
jan,17,5350
jan,18,5400
jan,19,5450
jan,20,5400
jan,1,4800
jan,2,4800
jan,3,4800
jan,4,4950
jan,5,4700
jan,6,5000
jan,7,5000
jan,8,5000
jan,9,5000
jan,10,5000
jan,11,4500
jan,12,4500
jan,13,4400
jan,14,4200
jan,15,5000
jan,16,5000
jan,17,4500
jan,18,4500
jan,19,4400
jan,20,4200
jan,1,5200
jan,2,5300
jan,3,5300
jan,4,5300
jan,5,5300
jan,6,5300
jan,7,5300
jan,8,5300
jan,9,5200
jan,10,5300
jan,11,5000
jan,12,5000
jan,13,5000
jan,14,5000
jan,15,5300
jan,16,5000
jan,17,5300
jan,18,5200
jan,19,5300
jan,20,5000
