month,day,price
march,1,5400
march,2,5450
march,3,5400
march,4,5400
march,5,5400
march,6,5400
march,7,5340
march,8,5400
march,9,5400
march,10,5460
march,11,5420
march,12,5400
march,13,5400
march,14,5400
march,15,5400
march,16,5400
march,17,5400
march,18,5460
march,19,5420
march,20,5400
march,1,4000
march,2,4000
march,3,4000
march,4,4000
march,5,4000
march,6,4000
march,7,4000
march,8,3400
march,9,4000
march,10,4000
march,11,4000
march,12,4000
march,13,4000
march,14,4000
march,15,4000
march,16,4000
march,17,4000
march,18,4000
march,19,3400
march,20,4000
march,1,5100
march,2,5100
march,3,5300
march,4,5100
march,5,5250
march,6,5100
march,7,5100
march,8,5200
march,9,5200
march,10,5250
march,11,5200
march,12,5400
march,13,5400
march,14,5400
march,15,5400
march,16,5400
march,17,5400
march,18,5500
march,19,5500
march,20,5500
