month,day,price
dec,1,3911
dec,2,3915
dec,3,3750
dec,4,3930
dec,5,3911
dec,6,3915
dec,7,3900
dec,8,3911
dec,9,3950
dec,10,3870
dec,11,3925
dec,12,3910
dec,13,3920
dec,14,3950
dec,15,3930
dec,16,3910
dec,17,3920
dec,18,3915
dec,19,3920
dec,20,3910
dec,1,4225
dec,2,4255
dec,3,4225
dec,4,4235
dec,5,4265
dec,6,4200
dec,7,4225
dec,8,4250
dec,9,4280
dec,10,4280
dec,11,4430
dec,12,4535
dec,13,4515
dec,14,4550
dec,15,4690
dec,16,4670
dec,17,4690
dec,18,4780
dec,19,4575
dec,20,4685
dec,1,4855
dec,2,4775
dec,3,4797
dec,4,4880
dec,5,4800
dec,6,4852
dec,7,4837
dec,8,4895
dec,9,4965
dec,10,4890
dec,11,4852
dec,12,4852
dec,13,4855
dec,14,4775
dec,15,4797
dec,16,4880
dec,17,4800
dec,18,4852
dec,19,4837
dec,20,4895
