month,day,price
nov,1,3820
nov,2,3960
nov,3,3750
nov,4,3965
nov,5,3915
nov,6,3950
nov,7,3915
nov,8,3915
nov,9,3915
nov,10,3915
nov,11,3950
nov,12,3875
nov,13,3875
nov,14,3915
nov,15,3915
nov,16,3915
nov,17,3915
nov,18,3915
nov,19,3945
nov,20,3945
nov,1,4450
nov,2,4425
nov,3,4440
nov,4,4500
nov,5,4500
nov,6,4425
nov,7,4450
nov,8,4500
nov,9,4450
nov,10,4295
nov,11,4170
nov,12,4170
nov,13,4170
nov,14,4170
nov,15,4165
nov,16,4200
nov,17,4225
nov,18,4255
nov,19,4225
nov,20,4235
nov,1,4855
nov,2,4775
nov,3,4797
nov,4,4880
nov,5,4800
nov,6,4852
nov,7,4837
nov,8,4895
nov,9,4965
nov,10,4890
nov,11,4852
nov,12,4852
nov,13,4855
nov,14,4775
nov,15,4797
nov,16,4880
nov,17,4800
nov,18,4852
nov,19,4837
nov,20,4895
