month ,day ,price,,month,day,price,,month,day,price,,month,day,price,,month,day,price,,month,day,price,,month,day,price,,month,day,price,,month,day,price,,month,day,price,,month,day,price,,month,day,price
jan,1,4230,,feb,1,4100,,march,1,4100,,april,1,4425,,may,1,,,june,1,,,july,1,,,august,1,,,sept,1,4201,,oct,1,4560,,nov,1,4505,,dec,1,4505
jan,2,4200,,feb,2,4095,,march,2,4095,,april,2,4330,,may,2,,,june,2,,,july,2,,,august,2,,,sept,2,4255,,oct,2,4535,,nov,2,4480,,dec,2,4480
jan,3,4235,,feb,3,4100,,march,3,4100,,april,3,4295,,may,3,,,june,3,,,july,3,,,august,3,,,sept,3,4355,,oct,3,4520,,nov,3,4530,,dec,3,4530
jan,4,4290,,feb,4,4095,,march,4,4095,,april,4,4295,,may,4,,,june,4,,,july,4,,,august,4,,,sept,4,4335,,oct,4,4510,,nov,4,4350,,dec,4,4350
jan,5,4275,,feb,5,4090,,march,5,4090,,april,5,4500,,may,5,,,june,5,,,july,5,,,august,5,,,sept,5,4400,,oct,5,4495,,nov,5,4300,,dec,5,4300
jan,6,4285,,feb,6,4070,,march,6,4070,,april,6,4500,,may,6,,,june,6,,,july,6,,,august,6,,,sept,6,4390,,oct,6,4475,,nov,6,4330,,dec,6,4330
jan,7,4265,,feb,7,3955,,march,7,3955,,april,7,4530,,may,7,,,june,7,,,july,7,,,august,7,,,sept,7,4450,,oct,7,4480,,nov,7,4275,,dec,7,4275
jan,8,4190,,feb,8,4015,,march,8,4015,,april,8,4550,,may,8,,,june,8,,,july,8,,,august,8,,,sept,8,4475,,oct,8,4490,,nov,8,4165,,dec,8,4165
jan,9,4155,,feb,9,4010,,march,9,4010,,april,9,4445,,may,9,,,june,9,,,july,9,,,august,9,,,sept,9,4535,,oct,9,4545,,nov,9,4255,,dec,9,4255
jan,10,4180,,feb,10,4045,,march,10,4045,,april,10,4415,,may,10,,,june,10,,,july,10,,,august,10,,,sept,10,4535,,oct,10,4630,,nov,10,4315,,dec,10,4315
jan,11,4200,,feb,11,4030,,march,11,4030,,april,11,4425,,may,11,,,june,11,,,july,11,,,august,11,,,sept,11,4535,,oct,11,4595,,nov,11,4345,,dec,11,4345
jan,12,4205,,feb,12,4030,,march,12,4030,,april,12,4330,,may,12,,,june,12,,,july,12,,,august,12,,,sept,12,4560,,oct,12,4660,,nov,12,4330,,dec,12,4330
jan,13,4190,,feb,13,4030,,march,13,4030,,april,13,4295,,may,13,,,june,13,,,july,13,,,august,13,,,sept,13,4570,,oct,13,4665,,nov,13,4270,,dec,13,4270
