month,day,price
sept,1,4201
sept,2,4255
sept,3,4355
sept,4,4335
sept,5,4400
sept,6,4390
sept,7,4450
sept,8,4475
sept,9,4535
sept,10,4535
sept,11,4535
sept,12,4560
sept,13,4570
sept,14,4630
sept,15,4560
sept,16,4530
sept,17,4500
sept,18,4400
sept,19,4420
sept,20,4570
sept,1,4980
sept,2,4400
sept,3,5000
sept,4,4935
sept,5,4930
sept,6,4820
sept,7,4580
sept,8,4855
sept,9,4500
sept,10,4640
sept,11,4505
sept,12,4840
sept,13,4945
sept,14,5000
sept,15,4940
sept,16,5020
sept,17,4900
sept,18,4795
sept,19,4950
sept,20,5015
sept,1,4560
sept,2,4560
sept,3,4580
sept,4,4460
sept,5,4550
sept,6,4500
sept,7,4550
sept,8,4600
sept,9,4560
sept,10,4650
sept,11,4350
sept,12,4430
sept,13,4450
sept,14,4450
sept,15,4560
sept,16,4560
sept,17,4580
sept,18,4460
sept,19,4550
sept,20,4500
sept,1,5405
sept,2,5370
sept,3,5365
sept,4,5350
sept,5,5350
sept,6,5325
sept,7,5290
sept,8,5290
sept,9,5410
sept,10,5310
sept,11,5190
sept,12,5080
sept,13,5150
sept,14,5135
sept,15,5405
sept,16,5370
sept,17,5365
sept,18,5350
sept,19,5350
sept,20,5325
