month,day,price
march,1,4060
march,2,4080
march,3,4080
march,4,4070
march,5,4080
march,6,4100
march,7,4170
march,8,4180
march,9,4170
march,10,4230
march,11,4260
march,12,4270
march,13,4250
march,14,4300
march,15,4250
march,16,4350
march,17,4440
march,18,4430
march,19,4430
march,20,4480
march,1,4670
march,2,4550
march,3,4670
march,4,4660
march,5,4660
march,6,4640
march,7,4650
march,8,4700
march,9,4680
march,10,4700
march,11,4520
march,12,4560
march,13,4520
march,14,4420
march,15,4600
march,16,4530
march,17,4620
march,18,4620
march,19,4670
march,20,4650
march,1,6030
march,2,6090
march,3,6030
march,4,5590
march,5,6040
march,6,6000
march,7,5570
march,8,5500
march,9,5400
march,10,5700
march,11,5700
march,12,6000
march,13,5600
march,14,5630
march,15,6050
march,16,5325
march,17,5700
march,18,6000
march,19,5600
march,20,5630
march,1,4900
march,2,4300
march,3,4770
march,4,4990
march,5,4880
march,6,4800
march,7,4825
march,8,4760
march,9,4580
march,10,4630
march,11,4650
march,12,4670
march,13,4760
march,14,4710
march,15,4580
march,16,4630
march,17,4650
march,18,4670
march,19,4760
march,20,4710
