month,day,price
nov,1,4400
nov,2,4350
nov,3,4470
nov,4,4450
nov,5,4300
nov,6,4260
nov,7,4260
nov,8,4250
nov,9,4340
nov,10,4340
nov,11,4325
nov,12,4300
nov,13,4400
nov,14,4350
nov,15,4470
nov,16,4450
nov,17,4300
nov,18,4260
nov,19,4260
nov,20,4250
nov,1,5090
nov,2,5100
nov,3,5050
nov,4,5070
nov,5,5050
nov,6,5050
nov,7,5090
nov,8,5110
nov,9,5160
nov,10,5260
nov,11,5300
nov,12,5360
nov,13,5320
nov,14,5180
nov,15,5150
nov,16,5170
nov,17,5240
nov,18,5250
nov,19,5270
nov,20,5220
nov,1,5100
nov,2,5100
nov,3,4920
nov,4,5130
nov,5,5150
nov,6,5180
nov,7,5125
nov,8,4850
nov,9,5160
nov,10,4970
nov,11,5460
nov,12,4760
nov,13,5000
nov,14,5000
nov,15,4880
nov,16,5360
nov,17,4800
nov,18,5100
nov,19,4700
nov,20,4800
nov,1,5320
nov,2,5200
nov,3,5280
nov,4,5190
nov,5,5170
nov,6,5250
nov,7,5260
nov,8,5160
nov,9,5280
nov,10,5300
nov,11,5570
nov,12,5450
nov,13,5350
nov,14,5290
nov,15,5500
nov,16,5550
nov,17,5460
nov,18,5300
nov,19,5310
nov,20,5280
