month,day,price
oct,1,4540
oct,2,4470
oct,3,4650
oct,4,4540
oct,5,4460
oct,6,4440
oct,7,4340
oct,8,4120
oct,9,4450
oct,10,4450
oct,11,4450
oct,12,4500
oct,13,4550
oct,14,4600
oct,15,4560
oct,16,4540
oct,17,4450
oct,18,4570
oct,19,4620
oct,20,4420
oct,1,5000
oct,2,5050
oct,3,4960
oct,4,4980
oct,5,4800
oct,6,4900
oct,7,4900
oct,8,5060
oct,9,5100
oct,10,4950
oct,11,5030
oct,12,5080
oct,13,4970
oct,14,4920
oct,15,5000
oct,16,5030
oct,17,4900
oct,18,4980
oct,19,4980
oct,20,4980
oct,1,5120
oct,2,5190
oct,3,5250
oct,4,5410
oct,5,5300
oct,6,5300
oct,7,5390
oct,8,5210
oct,9,5380
oct,10,5300
oct,11,5200
oct,12,5150
oct,13,5200
oct,14,5220
oct,15,5360
oct,16,5340
oct,17,5400
oct,18,5410
oct,19,5340
oct,20,5335
oct,1,5110
oct,2,5050
oct,3,5040
oct,4,5270
oct,5,5140
oct,6,5100
oct,7,5270
oct,8,5150
oct,9,5260
oct,10,5290
oct,11,5120
oct,12,4980
oct,13,5100
oct,14,5130
oct,15,5230
oct,16,5270
oct,17,5370
oct,18,5350
oct,19,5320
oct,20,5200
