month,day,price
april,1,4050
april,2,4000
april,3,4150
april,4,4150
april,5,4100
april,6,4350
april,7,4450
april,8,4500
april,9,4450
april,10,4425
april,11,4300
april,12,4350
april,13,4350
april,14,4325
april,15,4251
april,16,4250
april,17,4250
april,18,4300
april,19,3900
april,20,3900
april,1,5999
april,2,6000
april,3,5955
april,4,6010
april,5,6000
april,6,6112
april,7,6010
april,8,6050
april,9,5900
april,10,5615
april,11,5615
april,12,5540
april,13,5520
april,14,5560
april,15,5550
april,16,5615
april,17,5560
april,18,5350
april,19,5600
april,20,5595
april,1,6011
april,2,6000
april,3,6000
april,4,6015
april,5,6058
april,6,6075
april,7,6010
april,8,5988
april,9,6050
april,10,6000
april,11,6031
april,12,5999
april,13,6000
april,14,5955
april,15,6010
april,16,6000
april,17,6112
april,18,6010
april,19,6050
april,20,5900
april,1,5615
april,2,5615
april,3,5540
april,4,5520
april,5,5560
april,6,5550
april,7,5615
april,8,5560
april,9,5350
april,10,5600
april,11,5595
april,12,5475
april,13,5560
april,14,5540
april,15,5560
april,16,5550
april,17,5570
april,18,5480
april,19,5650
april,20,5600
april,1,5550
april,2,5565
april,3,5750
april,4,5800
april,5,5800
april,6,5750
april,7,5645
april,8,5900
april,9,5230
april,10,5175
april,11,4730
april,12,5070
april,13,5050
april,14,5450
april,15,5450
april,16,5450
april,17,5600
april,18,5600
april,19,5620
april,20,5800
