month,day,price
april,1,4372
april,2,5350
april,3,5226
april,4,5501
april,5,5250
april,6,5551
april,7,4500
april,8,5171
april,9,4900
april,10,5300
april,11,4750
april,12,5100
april,13,4981
april,14,5201
april,15,5251
april,16,5051
april,17,4980
april,18,4825
april,19,4701
april,20,4680
april,1,5100
april,2,5061
april,3,5400
april,4,5226
april,5,5620
april,6,5500
april,7,5551
april,8,5255
april,9,5261
april,10,5390
april,11,5350
april,12,5180
april,13,5150
april,14,5151
april,15,5425
april,16,5275
april,17,5250
april,18,5000
april,19,4971
april,20,4921
april,1,5200
april,2,4810
april,3,4918
april,4,4918
april,5,4983
april,6,4983
april,7,5013
april,8,5091
april,9,4886
april,10,4825
april,11,4888
april,12,4905
april,13,4817
april,14,4801
april,15,4841
april,16,4843
april,17,4825
april,18,4888
april,19,4905
april,20,4841
april,1,4800
april,2,4900
april,3,4921
april,4,4766
april,5,4921
april,6,4911
april,7,4925
april,8,4911
april,9,4850
april,10,4850
april,11,4850
april,12,4825
april,13,4921
april,14,4766
april,15,4921
april,16,4911
april,17,4925
april,18,4911
april,19,4850
april,20,4850
april,1,6080
april,2,5400
april,3,6187
april,4,5910
april,5,4500
april,6,6300
april,7,6125
april,8,5400
april,9,6187
april,10,6000
april,11,4500
april,12,6300
april,13,6080
april,14,5400
april,15,6187
april,16,5910
april,17,4500
april,18,6300
april,19,6125
april,20,5400
