month,day,price
oct,1,4350
oct,2,4400
oct,3,4380
oct,4,4450
oct,5,4490
oct,6,4554
oct,7,4480
oct,8,4455
oct,9,4799
oct,10,4490
oct,11,4480
oct,12,4225
oct,13,4160
oct,14,4135
oct,15,4230
oct,16,4554
oct,17,4480
oct,18,4455
oct,19,4799
oct,20,4490
oct,1,5181
oct,2,5172
oct,3,4881
oct,4,4891
oct,5,4906
oct,6,4726
oct,7,4811
oct,8,4775
oct,9,4800
oct,10,4901
oct,11,4943
oct,12,4901
oct,13,4820
oct,14,4772
oct,15,4826
oct,16,4966
oct,17,4965
oct,18,4875
oct,19,4821
oct,20,4913
oct,1,5261
oct,2,5237
oct,3,4932
oct,4,4911
oct,5,4960
oct,6,4811
oct,7,4871
oct,8,4871
oct,9,4900
oct,10,4968
oct,11,5016
oct,12,4969
oct,13,5000
oct,14,4841
oct,15,4931
oct,16,5032
oct,17,5017
oct,18,4939
oct,19,4941
oct,20,5025
oct,1,5526
oct,2,5275
oct,3,5216
oct,4,5208
oct,5,5198
oct,6,5657
oct,7,5199
oct,8,5231
oct,9,5230
oct,10,5191
oct,11,5156
oct,12,5122
oct,13,5281
oct,14,5233
oct,15,5288
oct,16,5287
oct,17,5383
oct,18,5360
oct,19,5388
oct,20,5383
