month,day,price
april,1,4523
april,2,4475
april,3,4475
april,4,4600
april,5,4717
april,6,4666
april,7,4685
april,8,4523
april,9,4475
april,10,4475
april,11,4600
april,12,4717
april,13,4666
april,14,4685
april,15,4630
april,16,4666
april,17,4685
april,18,4523
april,19,4475
april,20,4475
april,1,4722
april,2,4712
april,3,4685
april,4,4715
april,5,4700
april,6,4711
april,7,4815
april,8,4850
april,9,4850
april,10,4900
april,11,4722
april,12,4712
april,13,4685
april,14,4715
april,15,4700
april,16,4711
april,17,4815
april,18,4850
april,19,4850
april,20,4900
april,1,4723
april,2,4725
april,3,4711
april,4,4729
april,5,4712
april,6,4711
april,7,4825
april,8,4860
april,9,4860
april,10,4900
april,11,4685
april,12,4715
april,13,4700
april,14,4711
april,15,4815
april,16,4850
april,17,4850
april,18,4900
april,19,4723
april,20,4725
april,1,4775
april,2,4740
april,3,4750
april,4,4790
april,5,4810
april,6,4780
april,7,4780
april,8,4790
april,9,4790
april,10,4780
april,11,4780
april,12,4790
april,13,4760
april,14,4750
april,15,4750
april,16,4750
april,17,4800
april,18,4770
april,19,4800
april,20,4750
april,1,6035
april,2,6020
april,3,6080
april,4,6125
april,5,6110
april,6,6190
april,7,6240
april,8,6200
april,9,6125
april,10,6060
april,11,6060
april,12,6100
april,13,6175
april,14,6150
april,15,6150
april,16,6250
april,17,6150
april,18,6200
april,19,6230
april,20,6240
