month,day,price
april,1,3800
april,2,3800
april,3,3800
april,4,3800
april,5,3800
april,6,3800
april,7,3800
april,8,3800
april,9,3900
april,10,3900
april,11,3900
april,12,3900
april,13,3900
april,14,3900
april,15,3900
april,16,3900
april,17,3900
april,18,3900
april,19,3900
april,20,3900
april,1,3900
april,2,3900
april,3,3900
april,4,3900
april,5,3900
april,6,3900
april,7,3900
april,8,3900
april,9,3900
april,10,3900
april,11,3900
april,12,3900
april,13,3900
april,14,3900
april,15,3900
april,16,3900
april,17,3900
april,18,3900
april,19,3900
april,20,3900
april,1,4800
april,2,4800
april,3,4800
april,4,4800
april,5,4800
april,6,4800
april,7,4800
april,8,4800
april,9,4800
april,10,4800
april,11,4800
april,12,4800
april,13,4800
april,14,4800
april,15,4800
april,16,4800
april,17,4800
april,18,4800
april,19,4800
april,20,4800
april,1,4300
april,2,4250
april,3,4350
april,4,4300
april,5,4300
april,6,4300
april,7,4400
april,8,4400
april,9,4400
april,10,4400
april,11,4400
april,12,4400
april,13,4400
april,14,4400
april,15,4350
april,16,4300
april,17,4350
april,18,4300
april,19,4400
april,20,4300
