month,day,price
july,1,3400
july,2,3400
july,3,3400
july,4,3400
july,5,3400
july,6,3400
july,7,3400
july,8,3400
july,9,3400
july,10,3400
july,11,3400
july,12,3400
july,13,3400
july,14,3400
july,15,3400
july,16,3400
july,17,3400
july,18,3400
july,19,3400
july,20,3400
july,1,4000
july,2,4000
july,3,4000
july,4,4000
july,5,4000
july,6,4000
july,7,4000
july,8,4000
july,9,4000
july,10,4000
july,11,4000
july,12,4000
july,13,4000
july,14,4400
july,15,4400
july,16,4400
july,17,4400
july,18,4800
july,19,4000
july,20,4800
july,1,4100
july,2,4100
july,3,4100
july,4,4100
july,5,4100
july,6,4100
july,7,4100
july,8,4100
july,9,4100
july,10,4100
july,11,4100
july,12,4100
july,13,4500
july,14,4500
july,15,4500
july,16,4500
july,17,4500
july,18,4500
july,19,4500
july,20,4500
july,1,4300
july,2,4300
july,3,5100
july,4,5000
july,5,5100
july,6,5100
july,7,5100
july,8,5100
july,9,5100
july,10,5100
july,11,5100
july,12,5100
july,13,5100
july,14,5100
july,15,5100
july,16,5100
july,17,5100
july,18,5100
july,19,5100
july,20,5100
