month,day,price
jun,1,3700
jun,2,3700
jun,3,3600
jun,4,3600
jun,5,3600
jun,6,3600
jun,7,3600
jun,8,3600
jun,9,3600
jun,10,3600
jun,11,3600
jun,12,3600
jun,13,3600
jun,14,3600
jun,15,3600
jun,16,3600
jun,17,3600
jun,18,3600
jun,19,3600
jun,20,3600
jun,1,4000
jun,2,4000
jun,3,4000
jun,4,4000
jun,5,4000
jun,6,4000
jun,7,4000
jun,8,4000
jun,9,4000
jun,10,4000
jun,11,4000
jun,12,4000
jun,13,4000
jun,14,4000
jun,15,4000
jun,16,4000
jun,17,4000
jun,18,4000
jun,19,4000
jun,20,4000
jun,1,4200
jun,2,4200
jun,3,4300
jun,4,4300
jun,5,4300
jun,6,4300
jun,7,4300
jun,8,4300
jun,9,4300
jun,10,4300
jun,11,4300
jun,12,4300
jun,13,4300
jun,14,4300
jun,15,4300
jun,16,4300
jun,17,4300
jun,18,4300
jun,19,4100
jun,20,4100
jun,1,4400
jun,2,4400
jun,3,4300
jun,4,4400
jun,5,4400
jun,6,4400
jun,7,4400
jun,8,4350
jun,9,4400
jun,10,4400
jun,11,4300
jun,12,4300
jun,13,4300
jun,14,4300
jun,15,4300
jun,16,4300
jun,17,4300
jun,18,4300
jun,19,5100
jun,20,5000
