month ,day ,price
jan,1,4009
jan,2,4009
jan,3,3969
jan,4,4009
jan,5,4009
jan,6,3969
jan,7,4009
jan,8,4009
jan,9,4009
jan,10,4009
jan,11,4009
jan,12,4009
jan,13,4009
jan,14,4009
jan,15,4009
jan,16,4009
jan,17,4009
jan,18,4009
jan,19,4009
jan,20,4009
jan,1,4059
jan,2,4059
jan,3,4059
jan,4,4059
jan,5,4059
jan,6,4059
jan,7,4000
jan,8,4059
jan,9,4000
jan,10,4000
jan,11,4000
jan,12,4059
jan,13,4059
jan,14,4059
jan,15,4059
jan,16,4000
jan,17,4059
jan,18,4059
jan,19,4059
jan,20,4059
jan,1,4800
jan,2,4800
jan,3,4900
jan,4,4800
jan,5,5000
jan,6,4750
jan,7,5000
jan,8,5000
jan,9,5000
jan,10,5000
jan,11,5150
jan,12,5150
jan,13,5000
jan,14,5150
jan,15,5150
jan,16,5000
jan,17,5100
jan,18,5000
jan,19,5100
jan,20,5200
jan,1,5000
jan,2,4800
jan,3,4900
jan,4,5000
jan,5,5000
jan,6,5000
jan,7,4900
jan,8,4900
jan,9,4900
jan,10,4900
jan,11,4800
jan,12,4850
jan,13,4850
jan,14,4700
jan,15,4800
jan,16,4750
jan,17,4750
jan,18,4800
jan,19,4800
jan,20,4800
jan,1,5300
jan,2,5300
jan,3,5200
jan,4,5200
jan,5,5200
jan,6,5395.5
jan,7,5241
jan,8,5200
jan,9,5200
jan,10,5200
jan,11,5200
jan,12,5200
jan,13,5200
jan,14,5200
jan,15,5295.5
jan,16,5295.5
jan,17,5200
jan,18,5200
jan,19,5200
jan,20,5200
